player,team,role,status,predicted_champion,predicted_multiplier,actual_champions,games_played,hit_at_1,top_3,hit_at_3,realized_total_round_bonus,heuristic_champion,heuristic_hit_at_1
eXyu,Dignitas,JGL,scored,Jarvan IV,1.3,"['Jarvan IV', 'Pantheon', 'Trundle']",3.0,True,"['Jarvan IV', 'Naafiri', 'Nocturne']",True,7.311,Jarvan IV,True
Ignar,Dignitas,SUP,scored,Rakan,1.3,"['Camille', 'Karma', 'Milio']",3.0,False,"['Rakan', 'Bard', 'Rell']",False,0.0,Bard,False
FBI,Dignitas,BOT,scored,Ezreal,1.3,"['Caitlyn', 'Lucian', 'Ziggs']",3.0,False,"['Ezreal', 'Lucian', 'Aphelios']",True,0.0,Ezreal,False
Palafox,Dignitas,MID,scored,Orianna,1.3,"['Orianna', 'Ryze', 'Syndra']",3.0,True,"['Orianna', 'Ryze', 'Viktor']",True,9.126,Orianna,True
Denathor,Dignitas,TOP,scored,Gnar,1.3,"['Ambessa', 'Gnar', 'Jayce']",3.0,True,"['Gnar', 'Rumble', ""K'Sante""]",True,1.554,Rumble,False
Lyonz,Disguised,SUP,scored,Bard,1.3,"['Milio', 'Shen']",2.0,False,"['Bard', 'Leona', 'Rakan']",False,0.0,Bard,False
KryRa,Disguised,JGL,scored,Jarvan IV,1.3,"['Jarvan IV', 'Pantheon']",2.0,True,"['Jarvan IV', 'Naafiri', 'Vi']",True,6.033,Nocturne,False
Callme,Disguised,MID,scored,Orianna,1.3,"['Cassiopeia', 'Ryze']",2.0,False,"['Orianna', 'Ryze', 'Cassiopeia']",True,0.0,Ryze,True
sajed,Disguised,BOT,scored,Ezreal,1.3,"['Lucian', 'Ziggs']",2.0,False,"['Ezreal', 'Caitlyn', 'Lucian']",True,0.0,Caitlyn,False
Srtty,Disguised,TOP,scored,Rumble,1.3,"['Ambessa', 'Rumble']",2.0,True,"['Rumble', 'Gnar', ""K'Sante""]",True,0.138,Rumble,True
DARKWINGS,Sentinels,MID,scored,Orianna,1.3,"['Sylas', 'Taliyah', 'Viktor']",3.0,False,"['Orianna', 'Ryze', 'Cassiopeia']",False,0.0,Orianna,False
