player,prediction_period_id,target_cutoff,patch,patch_release_date,patch_context_status
APA,period:ff185424af4133395119,2023-07-05 21:05:49+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:36cf05276a8bbe55409a,2023-07-12 21:06:58+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:dd1399a0cf2f56138daa,2023-07-19 21:07:18+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:67a5ff4d5b051b402092,2023-07-27 21:07:41+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:4520b87081b51698489a,2023-08-03 21:07:08+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:a7fd1e72d2ba831ccc8d,2023-08-10 21:10:37+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:c21bdc9dc5e7a7f7922d,2023-08-19 20:18:53+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:27c11f42e65c97b901b8,2024-01-20 20:15:01+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:ab546300266e49331659,2024-01-27 20:15:48+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:f82eb58c594ccc349383,2024-02-02 21:12:22+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:06566a2ea584fecf6c15,2024-02-10 21:07:54+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:789a06731adc1e0c8798,2024-03-02 21:07:29+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:a0f9da327c11cf3cc717,2024-03-08 21:07:46+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:448a8f91622619afdbe7,2024-03-14 20:08:02+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:18a8b98d7b5d7f0b7105,2024-03-22 20:08:04+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:0c3bfca85acd014e625d,2024-03-30 20:22:30+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:697d8a8453920f1ff1c8,2024-06-15 20:11:50+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:ea10f8bb7f189dc4197a,2024-06-22 20:11:50+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:fb51ebc6418ce68c46c6,2024-06-27 20:07:21+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:0f3dd675ff7b55987f43,2024-07-20 20:10:15+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:29c7eddc03e68fe96070,2024-07-27 20:09:19+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:03ffd32cfddfafb63d73,2024-08-03 20:08:15+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:cdd6b3ae49979eef3d9f,2024-08-10 20:07:50+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:c0a1c4ffff2a32aacb10,2024-08-23 20:07:51+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:3685f26c9338932445a9,2024-08-30 20:08:40+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:77186dc9e4b5f1acc2df,2024-09-06 20:13:13+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:ee078790277fa6a5a0ce,2025-01-25 21:14:31+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:b08144b94745feadc04c,2025-02-01 21:06:58+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:bcc5730448bc2219d32a,2025-02-09 21:07:49+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:5a5260defef5072643d0,2025-04-05 20:14:15+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:fb622d9f67b0d1bacd81,2025-04-12 20:06:56+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:ab17bbbf5d12cdddc770,2025-04-19 20:08:34+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:0bd7b62868a6e6fa9a6d,2025-04-26 20:08:33+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:f91ca0f544586fb72c4d,2025-05-03 20:08:26+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:92eb584d41521b4a115a,2025-05-10 20:09:23+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:42a66f8e41011df34073,2025-05-17 20:08:05+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:769a792cb95be4e074fc,2025-05-24 20:07:34+00:00,,,QUALIFIED_LABEL_ONLY
APA,period:540a575a08edacdeb808,2025-05-31 20:08:28+00:00,,,QUALIFIED_LABEL_ONLY
