player,target_cutoff,role,team_id,opponent_role_fantasy_points_allowed_recent,opponent_role_fantasy_points_allowed_long,opponent_role_KP_allowed_recent,opponent_role_deaths_created_recent,minimum_history,latest_source_match_timestamp,construction
FBI,2025-02-03 00:15:46+00:00,BOT,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,26.0,23.791666666666668,0.657020757020757,4.333333333333333,3,2025-02-02 23:06:46+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Yeon,2025-02-03 00:15:46+00:00,BOT,oe:team:8eb884e168f28402ce685bedebb5250,38.666666666666664,18.440860215053764,0.6165647015202077,3.0,3,2025-02-02 23:06:46+00:00,prior completed games against current pre-lock team; same role; recent=3 games
River,2025-02-03 00:15:46+00:00,JGL,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,17.666666666666668,20.958333333333332,0.6302197802197802,7.666666666666667,3,2025-02-02 23:06:46+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Inspired,2025-02-03 00:15:46+00:00,JGL,oe:team:2e66da41dc460dd378e3bcc57042d31,10.0,16.233333333333334,0.6661375661375663,3.0,3,2025-01-25 22:01:01+00:00,prior completed games against current pre-lock team; same role; recent=3 games
APA,2025-02-03 00:15:46+00:00,MID,oe:team:8eb884e168f28402ce685bedebb5250,48.666666666666664,18.913978494623656,0.7624212087504635,3.6666666666666665,3,2025-02-02 23:06:46+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Quid,2025-02-03 00:15:46+00:00,MID,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,17.666666666666668,20.916666666666668,0.5646520146520146,6.0,3,2025-02-02 23:06:46+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Eyla,2025-02-03 00:15:46+00:00,SUP,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,24.0,21.291666666666668,0.7603785103785103,4.666666666666667,3,2025-02-02 23:06:46+00:00,prior completed games against current pre-lock team; same role; recent=3 games
CoreJJ,2025-02-03 00:15:46+00:00,SUP,oe:team:8eb884e168f28402ce685bedebb5250,35.0,15.376344086021506,0.632678284513657,3.0,3,2025-02-02 23:06:46+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Bwipo,2025-02-03 00:15:46+00:00,TOP,oe:team:2e66da41dc460dd378e3bcc57042d31,12.0,12.933333333333334,0.7105820105820105,3.6666666666666665,3,2025-01-25 22:01:01+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Srtty,2025-02-03 00:15:46+00:00,TOP,oe:team:0dbb780176ecad18f17292d1f5653af,11.0,13.88679245283019,0.518954248366013,3.6666666666666665,3,2025-02-02 01:34:49+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Zven,2025-02-10 00:46:00+00:00,BOT,oe:team:fc8e90107dabb9a35c490b0d86adea0,16.333333333333332,17.81132075471698,0.7916666666666666,2.3333333333333335,3,2025-02-03 02:54:42+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Route,2025-02-10 00:46:00+00:00,BOT,oe:team:658a021a796aa5501503220adb38cf4,15.333333333333334,25.025316455696203,0.8632478632478633,3.6666666666666665,3,2025-02-09 22:10:45+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Quad,2025-02-10 00:46:00+00:00,MID,oe:team:2e66da41dc460dd378e3bcc57042d31,20.0,15.51578947368421,0.6195652173913043,3.0,3,2025-02-09 23:49:15+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Quid,2025-02-10 00:46:00+00:00,MID,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,8.666666666666666,20.616438356164384,0.4590964590964591,5.666666666666667,3,2025-02-03 02:54:42+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Eyla,2025-02-10 00:46:00+00:00,SUP,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,16.333333333333332,21.027397260273972,0.7326007326007326,3.6666666666666665,3,2025-02-03 02:54:42+00:00,prior completed games against current pre-lock team; same role; recent=3 games
CoreJJ,2025-02-10 00:46:00+00:00,SUP,oe:team:8eb884e168f28402ce685bedebb5250,13.333333333333334,15.094736842105263,0.5842911877394635,3.3333333333333335,3,2025-02-09 21:57:01+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Bwipo,2025-02-10 00:46:00+00:00,TOP,oe:team:2e66da41dc460dd378e3bcc57042d31,8.333333333333334,13.0,0.338768115942029,4.0,3,2025-02-09 23:49:15+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Wizer,2025-02-10 00:46:00+00:00,TOP,oe:team:61450737f7b683db4da7b3e0bf0dced,12.0,14.472527472527473,0.5833333333333333,4.333333333333333,3,2025-02-09 22:10:45+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Yeon,2025-02-22 19:13:32+00:00,BOT,oe:team:8eb884e168f28402ce685bedebb5250,18.0,18.161616161616163,0.5936507936507937,1.6666666666666667,3,2025-02-16 23:17:16+00:00,prior completed games against current pre-lock team; same role; recent=3 games
FBI,2025-02-22 19:13:32+00:00,BOT,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,12.666666666666666,23.346666666666668,0.5925925925925926,4.333333333333333,3,2025-02-15 20:02:58+00:00,prior completed games against current pre-lock team; same role; recent=3 games
River,2025-02-22 19:13:32+00:00,JGL,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,17.333333333333332,20.813333333333333,0.9259259259259259,2.6666666666666665,3,2025-02-15 20:02:58+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Inspired,2025-02-22 19:13:32+00:00,JGL,oe:team:2e66da41dc460dd378e3bcc57042d31,20.0,16.367346938775512,0.8711843711843712,3.0,3,2025-02-15 22:08:12+00:00,prior completed games against current pre-lock team; same role; recent=3 games
APA,2025-02-22 19:13:32+00:00,MID,oe:team:8eb884e168f28402ce685bedebb5250,12.333333333333334,18.32323232323232,0.6349206349206349,4.666666666666667,3,2025-02-16 23:17:16+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Loki,2025-02-22 19:13:32+00:00,MID,oe:team:fc8e90107dabb9a35c490b0d86adea0,13.0,16.345454545454544,0.6005952380952381,0.6666666666666666,3,2025-02-16 19:58:13+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Zven,2025-04-21 20:07:10+00:00,BOT,oe:team:fc8e90107dabb9a35c490b0d86adea0,6.666666666666667,17.359375,0.8666666666666667,3.0,3,2025-04-20 21:02:57+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Tomo,2025-04-21 20:07:10+00:00,BOT,oe:team:0dbb780176ecad18f17292d1f5653af,26.666666666666668,21.78688524590164,0.6515151515151515,2.6666666666666665,3,2025-04-20 22:53:25+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Blaber,2025-04-21 20:07:10+00:00,JGL,oe:team:fc8e90107dabb9a35c490b0d86adea0,5.333333333333333,14.3125,0.9333333333333332,3.0,3,2025-04-20 21:02:57+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Inspired,2025-04-21 20:07:10+00:00,JGL,oe:team:2e66da41dc460dd378e3bcc57042d31,12.0,16.233644859813083,0.676470588235294,5.333333333333333,3,2025-04-20 21:02:57+00:00,prior completed games against current pre-lock team; same role; recent=3 games
APA,2025-04-21 20:07:10+00:00,MID,oe:team:8eb884e168f28402ce685bedebb5250,21.0,18.39669421487603,0.8910256410256411,2.3333333333333335,3,2025-04-20 22:02:17+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Loki,2025-04-21 20:07:10+00:00,MID,oe:team:fc8e90107dabb9a35c490b0d86adea0,5.0,16.21875,0.8222222222222223,3.3333333333333335,3,2025-04-20 21:02:57+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Vulcan,2025-04-21 20:07:10+00:00,SUP,oe:team:fc8e90107dabb9a35c490b0d86adea0,4.333333333333333,14.84375,0.9333333333333332,3.6666666666666665,3,2025-04-20 21:02:57+00:00,prior completed games against current pre-lock team; same role; recent=3 games
CoreJJ,2025-04-21 20:07:10+00:00,SUP,oe:team:8eb884e168f28402ce685bedebb5250,15.333333333333334,15.438016528925619,0.7858391608391608,1.6666666666666667,3,2025-04-20 22:02:17+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Bwipo,2025-04-21 20:07:10+00:00,TOP,oe:team:2e66da41dc460dd378e3bcc57042d31,18.333333333333332,13.065420560747663,0.7871148459383753,4.333333333333333,3,2025-04-20 21:02:57+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Fudge,2025-04-21 20:07:10+00:00,TOP,oe:team:b360f1d729b0a8e0f29a5243c4200fa,25.666666666666668,17.069767441860463,0.8051865907653384,2.6666666666666665,3,2025-04-20 22:02:17+00:00,prior completed games against current pre-lock team; same role; recent=3 games
TitaN,2025-09-13 20:14:47+00:00,BOT,oe:team:61450737f7b683db4da7b3e0bf0dced,37.0,19.72142857142857,0.7344720496894409,2.0,3,2025-09-06 18:07:07+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Rabelo,2025-09-13 20:14:47+00:00,BOT,oe:team:67169969ecc058b307edfa9c6b7a3c0,41.666666666666664,19.428571428571427,0.6822796934865899,1.3333333333333333,3,2025-09-07 17:54:49+00:00,prior completed games against current pre-lock team; same role; recent=3 games
River,2025-09-13 20:14:47+00:00,JGL,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,25.666666666666668,21.0,0.6948853615520282,1.3333333333333333,3,2025-09-07 22:50:47+00:00,prior completed games against current pre-lock team; same role; recent=3 games
CarioK,2025-09-13 20:14:47+00:00,JGL,oe:team:61450737f7b683db4da7b3e0bf0dced,34.333333333333336,18.321428571428573,0.6829997699562916,2.3333333333333335,3,2025-09-06 18:07:07+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Massu,2025-09-20 20:12:24+00:00,BOT,oe:team:2e66da41dc460dd378e3bcc57042d31,16.666666666666668,18.128048780487806,0.5462962962962963,3.0,3,2025-09-07 22:50:47+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Morttheus,2025-09-20 20:12:24+00:00,BOT,oe:team:b9e44c69c1a70fb35df9be96f9eafea,8.666666666666666,20.811475409836067,0.5968253968253968,4.333333333333333,3,2025-09-07 17:54:49+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Busio,2025-09-20 20:12:24+00:00,SUP,oe:team:2e66da41dc460dd378e3bcc57042d31,12.333333333333334,15.073170731707316,0.48148148148148145,2.6666666666666665,3,2025-09-07 22:50:47+00:00,prior completed games against current pre-lock team; same role; recent=3 games
frosty,2025-09-20 20:12:24+00:00,SUP,oe:team:67169969ecc058b307edfa9c6b7a3c0,5.666666666666667,15.387096774193548,0.43333333333333335,3.6666666666666665,3,2025-09-14 23:42:24+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Gakgos,2025-09-20 20:12:24+00:00,TOP,oe:team:2e66da41dc460dd378e3bcc57042d31,8.333333333333334,13.262195121951219,0.36111111111111116,4.0,3,2025-09-07 22:50:47+00:00,prior completed games against current pre-lock team; same role; recent=3 games
fNb,2025-09-20 20:12:24+00:00,TOP,oe:team:67169969ecc058b307edfa9c6b7a3c0,10.0,13.362903225806452,0.7999999999999999,3.0,3,2025-09-14 23:42:24+00:00,prior completed games against current pre-lock team; same role; recent=3 games
River,2025-09-27 20:15:13+00:00,JGL,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,13.0,20.87878787878788,0.6704545454545454,5.0,3,2025-09-21 21:53:03+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Inspired,2025-09-27 20:15:13+00:00,JGL,oe:team:2e66da41dc460dd378e3bcc57042d31,5.0,16.12574850299401,0.6857142857142857,3.6666666666666665,3,2025-09-20 21:56:51+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Mireu,2025-09-27 20:15:13+00:00,MID,oe:team:b9e44c69c1a70fb35df9be96f9eafea,38.0,20.552,0.7305555555555555,1.3333333333333333,3,2025-09-20 21:56:51+00:00,prior completed games against current pre-lock team; same role; recent=3 games
Quid,2025-09-27 20:15:13+00:00,MID,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,13.666666666666666,20.560606060606062,0.6325757575757576,5.666666666666667,3,2025-09-21 21:53:03+00:00,prior completed games against current pre-lock team; same role; recent=3 games
