player,team_id,role,prediction_period_id,target_cutoff,prior_role_adjusted_kp,source_cutoff,latest_source_match_timestamp
Armao,oe:team:0dbb780176ecad18f17292d1f5653af,JGL,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Froggen,oe:team:0dbb780176ecad18f17292d1f5653af,MID,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Johnsun,oe:team:0dbb780176ecad18f17292d1f5653af,BOT,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Huni,oe:team:0dbb780176ecad18f17292d1f5653af,TOP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
aphromoo,oe:team:0dbb780176ecad18f17292d1f5653af,SUP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
V1per,oe:team:2e66da41dc460dd378e3bcc57042d31,TOP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
WildTurtle,oe:team:2e66da41dc460dd378e3bcc57042d31,BOT,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Santorin,oe:team:2e66da41dc460dd378e3bcc57042d31,JGL,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
PowerOfEvil,oe:team:2e66da41dc460dd378e3bcc57042d31,MID,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Ignar,oe:team:2e66da41dc460dd378e3bcc57042d31,SUP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Stunt,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,SUP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Ryoma,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,MID,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Cody Sun,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,BOT,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Meteos,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,JGL,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Ssumday,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,TOP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Hauntzer,oe:team:87ee02298073abc2d55060f097d4041,TOP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
FBI,oe:team:87ee02298073abc2d55060f097d4041,BOT,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Goldenglue,oe:team:87ee02298073abc2d55060f097d4041,MID,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Closer,oe:team:87ee02298073abc2d55060f097d4041,JGL,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Keith,oe:team:87ee02298073abc2d55060f097d4041,SUP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
CoreJJ,oe:team:8eb884e168f28402ce685bedebb5250,SUP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Impact,oe:team:8eb884e168f28402ce685bedebb5250,TOP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Shernfire,oe:team:8eb884e168f28402ce685bedebb5250,JGL,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Jensen,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Doublelift,oe:team:8eb884e168f28402ce685bedebb5250,BOT,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Bjergsen,oe:team:a22510a4756fa424cb0771b13261139,MID,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
BrokenBlade,oe:team:a22510a4756fa424cb0771b13261139,TOP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Biofrost,oe:team:a22510a4756fa424cb0771b13261139,SUP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Dardoch,oe:team:a22510a4756fa424cb0771b13261139,JGL,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Kobbe,oe:team:a22510a4756fa424cb0771b13261139,BOT,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Altec,oe:team:c334c629fea759876e9e04afbe4aee7,BOT,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Xmithie,oe:team:c334c629fea759876e9e04afbe4aee7,JGL,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Eika,oe:team:c334c629fea759876e9e04afbe4aee7,MID,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Hakuho,oe:team:c334c629fea759876e9e04afbe4aee7,SUP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
sOAZ,oe:team:c334c629fea759876e9e04afbe4aee7,TOP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Griffin,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,JGL,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Smoothie,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,SUP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Stixxay,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,BOT,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Ruin,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,TOP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Crown,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,MID,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Bang,oe:team:f7f7324c151aa6ed770b244ce08e027,BOT,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Kumo,oe:team:f7f7324c151aa6ed770b244ce08e027,TOP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Zeyzal,oe:team:f7f7324c151aa6ed770b244ce08e027,SUP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Svenskeren,oe:team:f7f7324c151aa6ed770b244ce08e027,JGL,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Jiizuke,oe:team:f7f7324c151aa6ed770b244ce08e027,MID,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Zven,oe:team:fc8e90107dabb9a35c490b0d86adea0,BOT,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Nisqy,oe:team:fc8e90107dabb9a35c490b0d86adea0,MID,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Vulcan,oe:team:fc8e90107dabb9a35c490b0d86adea0,SUP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Licorice,oe:team:fc8e90107dabb9a35c490b0d86adea0,TOP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Blaber,oe:team:fc8e90107dabb9a35c490b0d86adea0,JGL,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,0.0,2020-01-25 21:37:53+00:00,
Armao,oe:team:0dbb780176ecad18f17292d1f5653af,JGL,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.4525383582255791,2020-02-01 21:36:35+00:00,2020-01-26T19:20:42Z
Froggen,oe:team:0dbb780176ecad18f17292d1f5653af,MID,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,0.35959402779676364,2020-02-01 21:36:35+00:00,2020-01-26T19:20:42Z
Johnsun,oe:team:0dbb780176ecad18f17292d1f5653af,BOT,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,0.0668819376461118,2020-02-01 21:36:35+00:00,2020-01-26T19:20:42Z
Huni,oe:team:0dbb780176ecad18f17292d1f5653af,TOP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.31916751304599233,2020-02-01 21:36:35+00:00,2020-01-26T19:20:42Z
aphromoo,oe:team:0dbb780176ecad18f17292d1f5653af,SUP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,0.02073420178040058,2020-02-01 21:36:35+00:00,2020-01-26T19:20:42Z
V1per,oe:team:2e66da41dc460dd378e3bcc57042d31,TOP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.4716931196353616,2020-02-01 21:36:35+00:00,2020-01-26T22:57:50Z
WildTurtle,oe:team:2e66da41dc460dd378e3bcc57042d31,BOT,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.1748106330138586,2020-02-01 21:36:35+00:00,2020-01-26T22:57:50Z
Santorin,oe:team:2e66da41dc460dd378e3bcc57042d31,JGL,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,0.034418584639697165,2020-02-01 21:36:35+00:00,2020-01-26T22:57:50Z
PowerOfEvil,oe:team:2e66da41dc460dd378e3bcc57042d31,MID,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.19964266240350753,2020-02-01 21:36:35+00:00,2020-01-26T22:57:50Z
Ignar,oe:team:2e66da41dc460dd378e3bcc57042d31,SUP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.05219468887280968,2020-02-01 21:36:35+00:00,2020-01-26T22:57:50Z
Stunt,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,SUP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.06892557030228863,2020-02-01 21:36:35+00:00,2020-01-28T00:52:53Z
Ryoma,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,MID,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,0.15818754642532773,2020-02-01 21:36:35+00:00,2020-01-28T00:52:53Z
Cody Sun,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,BOT,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,0.4623446494695467,2020-02-01 21:36:35+00:00,2020-01-28T00:52:53Z
Meteos,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,JGL,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.600997160620191,2020-02-01 21:36:35+00:00,2020-01-28T00:52:53Z
Ssumday,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,TOP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,0.2748622778675271,2020-02-01 21:36:35+00:00,2020-01-28T00:52:53Z
Hauntzer,oe:team:87ee02298073abc2d55060f097d4041,TOP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,0.5065996476518505,2020-02-01 21:36:35+00:00,2020-01-26T22:02:06Z
FBI,oe:team:87ee02298073abc2d55060f097d4041,BOT,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.33060582294754237,2020-02-01 21:36:35+00:00,2020-01-26T22:02:06Z
Goldenglue,oe:team:87ee02298073abc2d55060f097d4041,MID,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.1916351646227825,2020-02-01 21:36:35+00:00,2020-01-26T22:02:06Z
Closer,oe:team:87ee02298073abc2d55060f097d4041,JGL,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,0.007011126863126233,2020-02-01 21:36:35+00:00,2020-01-26T22:02:06Z
Keith,oe:team:87ee02298073abc2d55060f097d4041,SUP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.206846111668375,2020-02-01 21:36:35+00:00,2020-01-26T22:02:06Z
CoreJJ,oe:team:8eb884e168f28402ce685bedebb5250,SUP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.05944647673547938,2020-02-01 21:36:35+00:00,2020-01-28T02:16:14Z
Impact,oe:team:8eb884e168f28402ce685bedebb5250,TOP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,0.05035770809030596,2020-02-01 21:36:35+00:00,2020-01-28T02:16:14Z
Shernfire,oe:team:8eb884e168f28402ce685bedebb5250,JGL,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,0.2599857355635736,2020-02-01 21:36:35+00:00,2020-01-28T02:16:14Z
Jensen,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.009033507880639901,2020-02-01 21:36:35+00:00,2020-01-28T02:16:14Z
Doublelift,oe:team:8eb884e168f28402ce685bedebb5250,BOT,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.05971069990260971,2020-02-01 21:36:35+00:00,2020-01-28T02:16:14Z
Bjergsen,oe:team:a22510a4756fa424cb0771b13261139,MID,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.2820865981237806,2020-02-01 21:36:35+00:00,2020-01-28T02:16:14Z
BrokenBlade,oe:team:a22510a4756fa424cb0771b13261139,TOP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,0.04501626324210431,2020-02-01 21:36:35+00:00,2020-01-28T02:16:14Z
Biofrost,oe:team:a22510a4756fa424cb0771b13261139,SUP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,0.03349753217690905,2020-02-01 21:36:35+00:00,2020-01-28T02:16:14Z
Dardoch,oe:team:a22510a4756fa424cb0771b13261139,JGL,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,0.03031307089290212,2020-02-01 21:36:35+00:00,2020-01-28T02:16:14Z
Kobbe,oe:team:a22510a4756fa424cb0771b13261139,BOT,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,0.4877031701413016,2020-02-01 21:36:35+00:00,2020-01-28T02:16:14Z
Altec,oe:team:c334c629fea759876e9e04afbe4aee7,BOT,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,0.10791954116849571,2020-02-01 21:36:35+00:00,2020-01-26T20:35:10Z
Xmithie,oe:team:c334c629fea759876e9e04afbe4aee7,JGL,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.253875940674617,2020-02-01 21:36:35+00:00,2020-01-26T20:35:10Z
Eika,oe:team:c334c629fea759876e9e04afbe4aee7,MID,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.5779765130578902,2020-02-01 21:36:35+00:00,2020-01-26T20:35:10Z
Hakuho,oe:team:c334c629fea759876e9e04afbe4aee7,SUP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,0.3213883786904718,2020-02-01 21:36:35+00:00,2020-01-26T20:35:10Z
sOAZ,oe:team:c334c629fea759876e9e04afbe4aee7,TOP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.39761093676937465,2020-02-01 21:36:35+00:00,2020-01-26T20:35:10Z
Griffin,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,JGL,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,0.21037114791510406,2020-02-01 21:36:35+00:00,2020-01-26T22:57:50Z
Smoothie,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,SUP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,0.3636727699488779,2020-02-01 21:36:35+00:00,2020-01-26T22:57:50Z
Stixxay,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,BOT,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,0.3585180681255949,2020-02-01 21:36:35+00:00,2020-01-26T22:57:50Z
Ruin,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,TOP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,0.2510624790915659,2020-02-01 21:36:35+00:00,2020-01-26T22:57:50Z
Crown,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,MID,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,0.4274061890606312,2020-02-01 21:36:35+00:00,2020-01-26T22:57:50Z
Bang,oe:team:f7f7324c151aa6ed770b244ce08e027,BOT,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.14327594328761803,2020-02-01 21:36:35+00:00,2020-01-28T00:52:53Z
Kumo,oe:team:f7f7324c151aa6ed770b244ce08e027,TOP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.6041638719540697,2020-02-01 21:36:35+00:00,2020-01-28T00:52:53Z
Zeyzal,oe:team:f7f7324c151aa6ed770b244ce08e027,SUP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.36456509609110643,2020-02-01 21:36:35+00:00,2020-01-28T00:52:53Z
Svenskeren,oe:team:f7f7324c151aa6ed770b244ce08e027,JGL,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.050639153955786734,2020-02-01 21:36:35+00:00,2020-01-28T00:52:53Z
Jiizuke,oe:team:f7f7324c151aa6ed770b244ce08e027,MID,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.17258918141853372,2020-02-01 21:36:35+00:00,2020-01-28T00:52:53Z
Zven,oe:team:fc8e90107dabb9a35c490b0d86adea0,BOT,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,0.015766387185462746,2020-02-01 21:36:35+00:00,2020-01-26T22:02:06Z
Nisqy,oe:team:fc8e90107dabb9a35c490b0d86adea0,MID,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.05283043665784639,2020-02-01 21:36:35+00:00,2020-01-26T22:02:06Z
Vulcan,oe:team:fc8e90107dabb9a35c490b0d86adea0,SUP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.18934234575033537,2020-02-01 21:36:35+00:00,2020-01-26T22:02:06Z
Licorice,oe:team:fc8e90107dabb9a35c490b0d86adea0,TOP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,-0.25083027255908835,2020-02-01 21:36:35+00:00,2020-01-26T22:02:06Z
Blaber,oe:team:fc8e90107dabb9a35c490b0d86adea0,JGL,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,0.26546588883880284,2020-02-01 21:36:35+00:00,2020-01-26T22:02:06Z
Armao,oe:team:0dbb780176ecad18f17292d1f5653af,JGL,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,-0.23331885507901534,2020-02-08 21:30:18+00:00,2020-02-04T00:34:15Z
Froggen,oe:team:0dbb780176ecad18f17292d1f5653af,MID,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,0.27353407255935275,2020-02-08 21:30:18+00:00,2020-02-04T00:34:15Z
Johnsun,oe:team:0dbb780176ecad18f17292d1f5653af,BOT,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,-0.1745413369831151,2020-02-08 21:30:18+00:00,2020-02-04T00:34:15Z
Huni,oe:team:0dbb780176ecad18f17292d1f5653af,TOP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,-0.34326528697031533,2020-02-08 21:30:18+00:00,2020-02-04T00:34:15Z
aphromoo,oe:team:0dbb780176ecad18f17292d1f5653af,SUP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,0.11457558440040638,2020-02-08 21:30:18+00:00,2020-02-04T00:34:15Z
V1per,oe:team:2e66da41dc460dd378e3bcc57042d31,TOP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,-0.48056476907397483,2020-02-08 21:30:18+00:00,2020-02-04T00:34:15Z
