player,team_id,role,prediction_period_id,target_cutoff,roster_continuity,team_change,role_change,source_cutoff,latest_source_match_timestamp
Armao,oe:team:0dbb780176ecad18f17292d1f5653af,JGL,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Froggen,oe:team:0dbb780176ecad18f17292d1f5653af,MID,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Johnsun,oe:team:0dbb780176ecad18f17292d1f5653af,BOT,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Huni,oe:team:0dbb780176ecad18f17292d1f5653af,TOP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
aphromoo,oe:team:0dbb780176ecad18f17292d1f5653af,SUP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
V1per,oe:team:2e66da41dc460dd378e3bcc57042d31,TOP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
WildTurtle,oe:team:2e66da41dc460dd378e3bcc57042d31,BOT,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Santorin,oe:team:2e66da41dc460dd378e3bcc57042d31,JGL,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
PowerOfEvil,oe:team:2e66da41dc460dd378e3bcc57042d31,MID,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Ignar,oe:team:2e66da41dc460dd378e3bcc57042d31,SUP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Stunt,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,SUP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Ryoma,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,MID,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Cody Sun,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,BOT,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Meteos,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,JGL,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Ssumday,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,TOP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Hauntzer,oe:team:87ee02298073abc2d55060f097d4041,TOP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
FBI,oe:team:87ee02298073abc2d55060f097d4041,BOT,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Goldenglue,oe:team:87ee02298073abc2d55060f097d4041,MID,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Closer,oe:team:87ee02298073abc2d55060f097d4041,JGL,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Keith,oe:team:87ee02298073abc2d55060f097d4041,SUP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
CoreJJ,oe:team:8eb884e168f28402ce685bedebb5250,SUP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Impact,oe:team:8eb884e168f28402ce685bedebb5250,TOP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Shernfire,oe:team:8eb884e168f28402ce685bedebb5250,JGL,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Jensen,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Doublelift,oe:team:8eb884e168f28402ce685bedebb5250,BOT,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Bjergsen,oe:team:a22510a4756fa424cb0771b13261139,MID,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
BrokenBlade,oe:team:a22510a4756fa424cb0771b13261139,TOP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
