player,target_cutoff,team_id,role,locks_with_current_team,recent_starter_continuity,relationship_status,latest_source_match_timestamp
FBI,2025-02-03 00:15:46+00:00,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,BOT,33,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-02-02 23:06:46+00:00
Yeon,2025-02-03 00:15:46+00:00,oe:team:8eb884e168f28402ce685bedebb5250,BOT,41,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-02-02 23:06:46+00:00
River,2025-02-03 00:15:46+00:00,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,JGL,33,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-02-02 23:06:46+00:00
Inspired,2025-02-03 00:15:46+00:00,oe:team:2e66da41dc460dd378e3bcc57042d31,JGL,41,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-01-25 22:01:01+00:00
APA,2025-02-03 00:15:46+00:00,oe:team:8eb884e168f28402ce685bedebb5250,MID,41,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-02-02 23:06:46+00:00
Quid,2025-02-03 00:15:46+00:00,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,MID,33,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-02-02 23:06:46+00:00
Eyla,2025-02-03 00:15:46+00:00,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,SUP,33,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-02-02 23:06:46+00:00
CoreJJ,2025-02-03 00:15:46+00:00,oe:team:8eb884e168f28402ce685bedebb5250,SUP,41,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-02-02 23:06:46+00:00
Bwipo,2025-02-03 00:15:46+00:00,oe:team:2e66da41dc460dd378e3bcc57042d31,TOP,41,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-01-25 22:01:01+00:00
Srtty,2025-02-03 00:15:46+00:00,oe:team:0dbb780176ecad18f17292d1f5653af,TOP,28,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-02-02 01:34:49+00:00
Zven,2025-02-10 00:46:00+00:00,oe:team:fc8e90107dabb9a35c490b0d86adea0,BOT,29,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-02-03 02:54:42+00:00
Route,2025-02-10 00:46:00+00:00,oe:team:658a021a796aa5501503220adb38cf4,BOT,48,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-02-09 22:10:45+00:00
Quad,2025-02-10 00:46:00+00:00,oe:team:2e66da41dc460dd378e3bcc57042d31,MID,43,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-02-09 23:49:15+00:00
Quid,2025-02-10 00:46:00+00:00,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,MID,34,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-02-03 02:54:42+00:00
Eyla,2025-02-10 00:46:00+00:00,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,SUP,34,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-02-03 02:54:42+00:00
CoreJJ,2025-02-10 00:46:00+00:00,oe:team:8eb884e168f28402ce685bedebb5250,SUP,42,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-02-09 21:57:01+00:00
Bwipo,2025-02-10 00:46:00+00:00,oe:team:2e66da41dc460dd378e3bcc57042d31,TOP,43,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-02-09 23:49:15+00:00
Wizer,2025-02-10 00:46:00+00:00,oe:team:61450737f7b683db4da7b3e0bf0dced,TOP,54,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-02-09 22:10:45+00:00
Yeon,2025-02-22 19:13:32+00:00,oe:team:8eb884e168f28402ce685bedebb5250,BOT,44,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-02-16 23:17:16+00:00
FBI,2025-02-22 19:13:32+00:00,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,BOT,35,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-02-15 20:02:58+00:00
River,2025-02-22 19:13:32+00:00,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,JGL,35,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-02-15 20:02:58+00:00
Inspired,2025-02-22 19:13:32+00:00,oe:team:2e66da41dc460dd378e3bcc57042d31,JGL,45,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-02-15 22:08:12+00:00
APA,2025-02-22 19:13:32+00:00,oe:team:8eb884e168f28402ce685bedebb5250,MID,44,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-02-16 23:17:16+00:00
Loki,2025-02-22 19:13:32+00:00,oe:team:fc8e90107dabb9a35c490b0d86adea0,MID,30,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-02-16 19:58:13+00:00
Zven,2025-04-21 20:07:10+00:00,oe:team:fc8e90107dabb9a35c490b0d86adea0,BOT,38,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-04-20 21:02:57+00:00
Tomo,2025-04-21 20:07:10+00:00,oe:team:0dbb780176ecad18f17292d1f5653af,BOT,35,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-04-20 22:53:25+00:00
Blaber,2025-04-21 20:07:10+00:00,oe:team:fc8e90107dabb9a35c490b0d86adea0,JGL,38,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-04-20 21:02:57+00:00
Inspired,2025-04-21 20:07:10+00:00,oe:team:2e66da41dc460dd378e3bcc57042d31,JGL,52,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-04-20 21:02:57+00:00
APA,2025-04-21 20:07:10+00:00,oe:team:8eb884e168f28402ce685bedebb5250,MID,56,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-04-20 22:02:17+00:00
Loki,2025-04-21 20:07:10+00:00,oe:team:fc8e90107dabb9a35c490b0d86adea0,MID,38,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-04-20 21:02:57+00:00
Vulcan,2025-04-21 20:07:10+00:00,oe:team:fc8e90107dabb9a35c490b0d86adea0,SUP,38,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-04-20 21:02:57+00:00
CoreJJ,2025-04-21 20:07:10+00:00,oe:team:8eb884e168f28402ce685bedebb5250,SUP,56,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-04-20 22:02:17+00:00
Bwipo,2025-04-21 20:07:10+00:00,oe:team:2e66da41dc460dd378e3bcc57042d31,TOP,52,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-04-20 21:02:57+00:00
