player,target_cutoff,team,role,opponent_role_fantasy_points_allowed_recent,opponent_role_fantasy_points_allowed_long,opponent_role_KP_allowed_recent,opponent_role_deaths_created_recent,minimum_history,latest_source_match_timestamp
Inspired,2024-02-02 21:12:22+00:00,FlyQuest,JGL,15.666666666666666,14.75,0.9305555555555555,2.3333333333333335,3,2024-01-28 21:55:54+00:00
Blaber,2024-02-02 21:12:22+00:00,Cloud9,JGL,15.0,12.5,0.7388888888888889,3.6666666666666665,3,2024-01-28 21:10:15+00:00
Busio,2024-02-02 21:12:22+00:00,FlyQuest,SUP,17.333333333333332,16.5,0.8472222222222222,1.6666666666666667,3,2024-01-28 21:55:54+00:00
huhi,2024-02-02 21:12:22+00:00,NRG,SUP,13.0,13.25,0.6962962962962962,3.3333333333333335,3,2024-01-28 21:55:54+00:00
Rich,2024-02-02 21:12:22+00:00,Dignitas,TOP,24.0,20.25,0.6530797101449276,3.0,3,2024-01-28 20:15:18+00:00
Sniper,2024-02-02 21:12:22+00:00,100 Thieves,TOP,17.333333333333332,14.75,0.456140350877193,2.3333333333333335,3,2024-01-28 20:15:18+00:00
Tactical,2024-06-15 20:11:50+00:00,Immortals,BOT,20.666666666666668,22.357142857142858,0.7685185185185185,0.6666666666666666,3,2024-03-10 20:07:55+00:00
FBI,2024-06-15 20:11:50+00:00,NRG,BOT,22.333333333333332,20.45,0.6656746031746031,2.3333333333333335,3,2024-03-16 23:44:56+00:00
Inspired,2024-06-15 20:11:50+00:00,FlyQuest,JGL,23.0,17.884615384615383,0.6622498274672187,3.3333333333333335,3,2024-03-31 22:47:00+00:00
Blaber,2024-06-15 20:11:50+00:00,Cloud9,JGL,23.0,14.391304347826088,0.6855311355311356,1.3333333333333333,3,2024-03-30 22:05:18+00:00
Eyla,2024-06-15 20:11:50+00:00,100 Thieves,SUP,38.666666666666664,23.26923076923077,0.8432367149758454,3.0,3,2024-03-22 22:49:47+00:00
CoreJJ,2024-06-15 20:11:50+00:00,Team Liquid,SUP,13.666666666666666,15.696969696969697,0.6279461279461279,4.666666666666667,3,2024-03-31 22:47:00+00:00
Impact,2024-06-15 20:11:50+00:00,Team Liquid,TOP,14.333333333333334,13.696969696969697,0.6498316498316498,3.6666666666666665,3,2024-03-31 22:47:00+00:00
Zven,2024-06-22 20:11:50+00:00,Dignitas,BOT,28.0,21.333333333333332,0.7936159844054581,1.3333333333333333,3,2024-06-16 00:41:03+00:00
FBI,2024-06-22 20:11:50+00:00,NRG,BOT,28.666666666666668,21.40909090909091,0.685515873015873,1.3333333333333333,3,2024-06-16 20:57:47+00:00
Blaber,2024-06-22 20:11:50+00:00,Cloud9,JGL,19.0,14.923076923076923,0.7142857142857143,3.0,3,2024-06-16 00:41:03+00:00
Inspired,2024-06-22 20:11:50+00:00,FlyQuest,JGL,19.333333333333332,18.03448275862069,0.5842636895268475,2.3333333333333335,3,2024-06-15 22:02:04+00:00
APA,2024-06-22 20:11:50+00:00,Team Liquid,MID,18.0,19.11111111111111,0.5029239766081871,3.3333333333333335,3,2024-06-15 22:02:04+00:00
Quid,2024-06-22 20:11:50+00:00,100 Thieves,MID,17.333333333333332,20.607142857142858,0.46066252587991724,3.0,3,2024-06-16 20:57:47+00:00
Thanatos,2024-06-22 20:11:50+00:00,Cloud9,TOP,10.333333333333334,11.384615384615385,0.37142857142857144,3.3333333333333335,3,2024-06-16 00:41:03+00:00
Licorice,2024-06-22 20:11:50+00:00,Dignitas,TOP,15.0,14.428571428571429,0.4836744639376218,3.3333333333333335,3,2024-06-16 00:41:03+00:00
Yeon,2024-06-27 20:07:21+00:00,Team Liquid,BOT,5.666666666666667,19.236842105263158,0.6916666666666668,3.3333333333333335,3,2024-06-23 23:33:13+00:00
Zven,2024-06-27 20:07:21+00:00,Dignitas,BOT,26.0,20.956521739130434,0.7033738191632929,2.0,3,2024-06-22 22:47:46+00:00
Inspired,2024-06-27 20:07:21+00:00,FlyQuest,JGL,20.0,18.21875,0.7363636363636363,2.0,3,2024-06-23 21:52:38+00:00
Blaber,2024-06-27 20:07:21+00:00,Cloud9,JGL,9.666666666666666,14.142857142857142,0.8333333333333334,3.0,3,2024-06-22 20:56:48+00:00
APA,2024-06-27 20:07:21+00:00,Team Liquid,MID,6.333333333333333,18.526315789473685,0.625,2.6666666666666665,3,2024-06-23 23:33:13+00:00
Quad,2024-06-27 20:07:21+00:00,FlyQuest,MID,17.333333333333332,16.96875,0.6393939393939393,3.6666666666666665,3,2024-06-23 21:52:38+00:00
huhi,2024-06-27 20:07:21+00:00,NRG,SUP,16.333333333333332,19.68,0.5755952380952382,3.0,3,2024-06-23 21:52:38+00:00
CoreJJ,2024-06-27 20:07:21+00:00,Team Liquid,SUP,4.333333333333333,15.68421052631579,0.5666666666666667,4.666666666666667,3,2024-06-23 23:33:13+00:00
Bvoy,2024-07-20 20:10:15+00:00,Shopify Rebellion,BOT,19.333333333333332,25.3,0.6703703703703704,0.6666666666666666,3,2024-06-28 20:47:05+00:00
Zven,2024-07-20 20:10:15+00:00,Dignitas,BOT,22.0,21.12,0.5355263157894736,1.3333333333333333,3,2024-06-28 22:16:26+00:00
Contractz,2024-07-20 20:10:15+00:00,NRG,JGL,9.666666666666666,18.925925925925927,0.7166666666666667,2.6666666666666665,3,2024-06-27 20:56:17+00:00
Blaber,2024-07-20 20:10:15+00:00,Cloud9,JGL,2.6666666666666665,13.233333333333333,0.8333333333333334,2.3333333333333335,3,2024-06-28 20:47:05+00:00
APA,2024-07-20 20:10:15+00:00,Team Liquid,MID,12.333333333333334,18.275,0.7222222222222222,4.0,3,2024-06-27 22:55:43+00:00
Quid,2024-07-20 20:10:15+00:00,100 Thieves,MID,34.0,21.625,0.6462962962962964,2.0,3,2024-06-27 22:55:43+00:00
Vulcan,2024-07-20 20:10:15+00:00,Cloud9,SUP,3.0,14.833333333333334,0.9,3.3333333333333335,3,2024-06-28 20:47:05+00:00
huhi,2024-07-20 20:10:15+00:00,NRG,SUP,6.0,18.25925925925926,0.65,2.6666666666666665,3,2024-06-27 20:56:17+00:00
Berserker,2024-07-27 20:09:19+00:00,Cloud9,BOT,4.0,15.875,0.38888888888888884,2.6666666666666665,3,2024-07-21 20:54:21+00:00
Zven,2024-07-27 20:09:19+00:00,Dignitas,BOT,15.0,20.464285714285715,0.48333333333333334,2.0,3,2024-07-20 21:46:03+00:00
Bugi,2024-07-27 20:09:19+00:00,Shopify Rebellion,JGL,26.666666666666668,21.363636363636363,0.9351851851851851,2.6666666666666665,3,2024-07-21 22:53:27+00:00
Blaber,2024-07-27 20:09:19+00:00,Cloud9,JGL,3.6666666666666665,12.75,0.8055555555555555,4.333333333333333,3,2024-07-21 20:54:21+00:00
APA,2024-07-27 20:09:19+00:00,Team Liquid,MID,18.0,18.25581395348837,0.6387987012987013,2.6666666666666665,3,2024-07-20 21:46:03+00:00
Quid,2024-07-27 20:09:19+00:00,100 Thieves,MID,28.333333333333332,21.852941176470587,0.6574074074074074,2.0,3,2024-07-21 20:54:21+00:00
Busio,2024-07-27 20:09:19+00:00,FlyQuest,SUP,4.333333333333333,15.75,0.6305555555555555,4.666666666666667,3,2024-07-20 23:21:38+00:00
CoreJJ,2024-07-27 20:09:19+00:00,Team Liquid,SUP,16.666666666666668,15.186046511627907,0.7911255411255412,2.3333333333333335,3,2024-07-20 21:46:03+00:00
Impact,2024-07-27 20:09:19+00:00,Team Liquid,TOP,9.0,12.906976744186046,0.4396645021645022,4.0,3,2024-07-20 21:46:03+00:00
Bwipo,2024-07-27 20:09:19+00:00,FlyQuest,TOP,5.333333333333333,12.25,0.4694444444444444,3.3333333333333335,3,2024-07-20 23:21:38+00:00
Yeon,2024-08-03 20:08:15+00:00,Team Liquid,BOT,3.6666666666666665,17.755555555555556,0.5904761904761905,2.3333333333333335,3,2024-07-28 23:12:39+00:00
Zven,2024-08-03 20:08:15+00:00,Dignitas,BOT,25.333333333333332,20.933333333333334,0.6468253968253967,1.6666666666666667,3,2024-07-27 22:39:35+00:00
Inspired,2024-08-03 20:08:15+00:00,FlyQuest,JGL,10.0,16.025641025641026,0.7990196078431372,2.6666666666666665,3,2024-07-28 21:43:16+00:00
Blaber,2024-08-03 20:08:15+00:00,Cloud9,JGL,10.0,12.647058823529411,0.6723646723646723,5.0,3,2024-07-27 21:03:03+00:00
Jensen,2024-08-03 20:08:15+00:00,Dignitas,MID,25.333333333333332,20.333333333333332,0.6224206349206349,0.3333333333333333,3,2024-07-27 22:39:35+00:00
Quid,2024-08-03 20:08:15+00:00,100 Thieves,MID,20.333333333333332,21.72972972972973,0.5750000000000001,1.0,3,2024-07-28 21:43:16+00:00
Eyla,2024-08-03 20:08:15+00:00,100 Thieves,SUP,24.0,23.64864864864865,0.8041666666666667,1.6666666666666667,3,2024-07-28 21:43:16+00:00
huhi,2024-08-03 20:08:15+00:00,NRG,SUP,28.333333333333332,19.451612903225808,0.7819185645272602,2.6666666666666665,3,2024-07-27 21:03:03+00:00
FakeGod,2024-08-03 20:08:15+00:00,Shopify Rebellion,TOP,6.333333333333333,17.291666666666668,0.6333333333333333,4.333333333333333,3,2024-07-27 22:39:35+00:00
Impact,2024-08-03 20:08:15+00:00,Team Liquid,TOP,4.333333333333333,12.622222222222222,0.48095238095238096,4.333333333333333,3,2024-07-28 23:12:39+00:00
Yeon,2024-08-05 00:15:54+00:00,Team Liquid,BOT,22.0,18.020833333333332,0.9148550724637681,2.0,3,2024-08-04 21:43:36+00:00
Tomo,2024-08-05 00:15:54+00:00,100 Thieves,BOT,23.0,25.46153846153846,0.7097222222222221,2.3333333333333335,3,2024-08-03 22:53:02+00:00
UmTi,2024-08-05 00:15:54+00:00,Team Liquid,JGL,16.0,16.729166666666668,0.8731884057971014,3.6666666666666665,3,2024-08-04 21:43:36+00:00
Bugi,2024-08-05 00:15:54+00:00,Shopify Rebellion,JGL,20.0,20.692307692307693,0.8227272727272728,2.0,3,2024-08-04 23:24:32+00:00
CoreJJ,2024-08-05 00:15:54+00:00,Team Liquid,SUP,17.333333333333332,14.75,0.9003623188405797,1.6666666666666667,3,2024-08-04 21:43:36+00:00
Isles,2024-08-05 00:15:54+00:00,Dignitas,SUP,13.333333333333334,18.53125,0.6613756613756613,3.3333333333333335,3,2024-08-03 20:53:30+00:00
Licorice,2024-08-05 00:15:54+00:00,Dignitas,TOP,13.0,13.90625,0.5608465608465608,2.6666666666666665,3,2024-08-03 20:53:30+00:00
Impact,2024-08-05 00:15:54+00:00,Team Liquid,TOP,7.333333333333333,12.291666666666666,0.26992753623188404,3.3333333333333335,3,2024-08-04 21:43:36+00:00
Massu,2024-08-17 20:07:21+00:00,FlyQuest,BOT,18.0,18.25,0.7688034188034188,1.0,3,2024-08-11 20:52:02+00:00
Zven,2024-08-17 20:07:21+00:00,Dignitas,BOT,9.0,19.65714285714286,0.47385620915032683,2.0,3,2024-08-11 23:48:41+00:00
River,2024-08-17 20:07:21+00:00,100 Thieves,JGL,31.666666666666668,22.023809523809526,0.9074074074074074,3.0,3,2024-08-10 23:06:13+00:00
Inspired,2024-08-17 20:07:21+00:00,FlyQuest,JGL,13.0,16.522727272727273,0.7217948717948719,3.6666666666666665,3,2024-08-11 20:52:02+00:00
Sniper,2024-08-17 20:07:21+00:00,100 Thieves,TOP,19.0,16.738095238095237,0.4567901234567901,3.3333333333333335,3,2024-08-10 23:06:13+00:00
Dhokla,2024-08-17 20:07:21+00:00,NRG,TOP,22.333333333333332,17.285714285714285,0.516042780748663,1.6666666666666667,3,2024-08-10 20:51:54+00:00
Zven,2024-08-23 20:07:51+00:00,Dignitas,BOT,25.0,20.07894736842105,0.6674603174603174,0.0,3,2024-08-17 21:40:59+00:00
FBI,2024-08-23 20:07:51+00:00,NRG,BOT,27.333333333333332,24.0,0.7764957264957264,1.0,3,2024-08-18 22:50:10+00:00
Quad,2024-08-23 20:07:51+00:00,FlyQuest,MID,19.333333333333332,15.0625,0.7083333333333334,3.3333333333333335,3,2024-08-18 22:50:10+00:00
Jensen,2024-08-23 20:07:51+00:00,Dignitas,MID,25.666666666666668,19.0,0.6317460317460317,1.3333333333333333,3,2024-08-17 21:40:59+00:00
huhi,2024-08-23 20:07:51+00:00,NRG,SUP,21.333333333333332,20.94871794871795,0.7786324786324785,4.0,3,2024-08-18 22:50:10+00:00
Vulcan,2024-08-23 20:07:51+00:00,Cloud9,SUP,14.666666666666666,14.461538461538462,0.7393939393939394,2.3333333333333335,3,2024-08-11 20:52:02+00:00
River,2024-08-30 20:08:40+00:00,100 Thieves,JGL,29.333333333333332,21.333333333333332,0.60109243697479,1.3333333333333333,3,2024-08-24 21:47:58+00:00
Inspired,2024-08-30 20:08:40+00:00,FlyQuest,JGL,0.0,15.73076923076923,0.5,4.333333333333333,3,2024-08-25 22:51:53+00:00
Quad,2024-08-30 20:08:40+00:00,FlyQuest,MID,3.3333333333333335,14.442307692307692,0.5833333333333333,2.3333333333333335,3,2024-08-25 22:51:53+00:00
Quid,2024-08-30 20:08:40+00:00,100 Thieves,MID,30.333333333333332,20.895833333333332,0.5255182072829131,1.0,3,2024-08-24 21:47:58+00:00
CoreJJ,2024-08-30 20:08:40+00:00,Team Liquid,SUP,7.666666666666667,13.849056603773585,0.6904761904761904,4.666666666666667,3,2024-08-24 21:47:58+00:00
Vulcan,2024-08-30 20:08:40+00:00,Cloud9,SUP,21.666666666666668,14.953488372093023,0.7268907563025211,1.0,3,2024-08-25 22:51:53+00:00
Licorice,2024-08-30 20:08:40+00:00,Dignitas,TOP,23.0,14.325581395348838,0.5301932367149759,6.333333333333333,3,2024-08-23 23:39:20+00:00
Impact,2024-08-30 20:08:40+00:00,Team Liquid,TOP,-0.6666666666666666,11.018867924528301,0.21428571428571427,6.666666666666667,3,2024-08-24 21:47:58+00:00
Massu,2024-09-06 20:13:13+00:00,FlyQuest,BOT,19.666666666666668,17.19298245614035,0.7904040404040403,1.6666666666666667,3,2024-08-31 23:47:37+00:00
Yeon,2024-09-06 20:13:13+00:00,Team Liquid,BOT,21.666666666666668,17.689655172413794,0.8430335097001764,1.3333333333333333,3,2024-08-31 23:47:37+00:00
Busio,2024-09-06 20:13:13+00:00,FlyQuest,SUP,20.666666666666668,14.421052631578947,0.9393939393939394,2.3333333333333335,3,2024-08-31 23:47:37+00:00
CoreJJ,2024-09-06 20:13:13+00:00,Team Liquid,SUP,10.0,14.10344827586207,0.63668430335097,2.6666666666666665,3,2024-08-31 23:47:37+00:00
FBI,2025-01-25 21:14:31+00:00,NRG,BOT,35.666666666666664,24.386363636363637,0.8272604588394062,2.3333333333333335,3,2024-08-23 23:39:20+00:00
Yeon,2025-01-25 21:14:31+00:00,Team Liquid,BOT,20.333333333333332,17.870967741935484,0.5547008547008546,2.0,3,2024-09-07 22:46:24+00:00
Inspired,2025-01-25 21:14:31+00:00,FlyQuest,JGL,14.666666666666666,15.171875,0.6025252525252526,4.333333333333333,3,2024-09-07 22:46:24+00:00
Blaber,2025-01-25 21:14:31+00:00,Cloud9,JGL,18.0,15.042553191489361,0.9526143790849672,3.6666666666666665,3,2024-09-01 22:37:27+00:00
APA,2025-01-25 21:14:31+00:00,Team Liquid,MID,18.666666666666668,17.70967741935484,0.6068376068376068,3.3333333333333335,3,2024-09-07 22:46:24+00:00
Quad,2025-01-25 21:14:31+00:00,FlyQuest,MID,18.0,14.28125,0.5626262626262627,3.6666666666666665,3,2024-09-07 22:46:24+00:00
CoreJJ,2025-01-25 21:14:31+00:00,Team Liquid,SUP,18.0,14.370967741935484,0.6045584045584046,2.6666666666666665,3,2024-09-07 22:46:24+00:00
Eyla,2025-01-25 21:14:31+00:00,100 Thieves,SUP,23.333333333333332,21.266666666666666,0.6354545454545454,1.0,3,2024-09-06 22:01:47+00:00
