season,split,period_id,fantasy_lock_time,team,opponent,series_id,patch
2025,split_1,2025-01-20T00:00:00+00:00,2025-01-25 21:14:31+00:00,100 Thieves,Disguised,63418,15.2
2025,split_1,2025-01-20T00:00:00+00:00,2025-01-25 21:14:31+00:00,Team Liquid,Dignitas,63421,15.2
2025,split_1,2025-01-20T00:00:00+00:00,2025-01-25 21:14:31+00:00,FlyQuest,SR,63214,15.2
2025,split_1,2025-01-20T00:00:00+00:00,2025-01-25 21:14:31+00:00,Cloud9,LYON,63217,15.2
2025,split_1,2025-01-20T00:00:00+00:00,2025-01-25 21:14:31+00:00,Disguised,100 Thieves,63418,15.2
2025,split_1,2025-01-27T00:00:00+00:00,2025-02-01 21:06:58+00:00,LYON,SR,63476,15.2
2025,split_1,2025-01-27T00:00:00+00:00,2025-02-01 21:06:58+00:00,SR,LYON,63476,15.2
2025,split_1,2025-01-27T00:00:00+00:00,2025-02-01 21:06:58+00:00,Team Liquid,100 Thieves,63479,15.2
2025,split_1,2025-01-27T00:00:00+00:00,2025-02-01 21:06:58+00:00,Disguised,Dignitas,63473,15.2
2025,split_1,2025-02-03T00:00:00+00:00,2025-02-03 00:15:46+00:00,Dignitas,FlyQuest,63557,15.3
2025,split_2,2025-03-31T00:00:00+00:00,2025-04-05 20:14:15+00:00,Cloud9,100 Thieves,65456,15.7
2025,split_2,2025-03-31T00:00:00+00:00,2025-04-05 20:14:15+00:00,LYON,Dignitas,65461,15.7
2025,split_2,2025-03-31T00:00:00+00:00,2025-04-05 20:14:15+00:00,SR,Dignitas,65455,15.7
2025,split_2,2025-03-31T00:00:00+00:00,2025-04-05 20:14:15+00:00,FlyQuest,Team Liquid,65454,15.7
2025,split_2,2025-03-31T00:00:00+00:00,2025-04-05 20:14:15+00:00,100 Thieves,Cloud9,65456,15.7
2025,split_2,2025-03-31T00:00:00+00:00,2025-04-05 20:14:15+00:00,Team Liquid,FlyQuest,65454,15.7
2025,split_2,2025-03-31T00:00:00+00:00,2025-04-05 20:14:15+00:00,Dignitas,SR,65455,15.7
2025,split_2,2025-04-07T00:00:00+00:00,2025-04-12 20:06:56+00:00,100 Thieves,FlyQuest,65631,15.7
2025,split_2,2025-04-07T00:00:00+00:00,2025-04-12 20:06:56+00:00,FlyQuest,100 Thieves,65631,15.7
2025,split_2,2025-04-07T00:00:00+00:00,2025-04-12 20:06:56+00:00,Cloud9,Disguised,65630,15.7
2025,split_2,2025-04-07T00:00:00+00:00,2025-04-12 20:06:56+00:00,LYON,SR,65633,15.7
2025,split_2,2025-04-07T00:00:00+00:00,2025-04-12 20:06:56+00:00,Team Liquid,Dignitas,65632,15.7
2025,split_2,2025-04-14T00:00:00+00:00,2025-04-19 20:08:34+00:00,SR,DSG,66235,15.8
2025,split_2,2025-04-14T00:00:00+00:00,2025-04-19 20:08:34+00:00,Cloud9,Team Liquid,66233,15.8
2025,split_2,2025-04-14T00:00:00+00:00,2025-04-19 20:08:34+00:00,Dignitas,100 Thieves,66234,15.8
2025,split_2,2025-04-14T00:00:00+00:00,2025-04-19 20:08:34+00:00,FlyQuest,LYON,66232,15.8
2025,split_2,2025-04-14T00:00:00+00:00,2025-04-19 20:08:34+00:00,100 Thieves,Dignitas,66234,15.8
2025,split_2,2025-04-14T00:00:00+00:00,2025-04-19 20:08:34+00:00,Team Liquid,Cloud9,66233,15.8
2025,split_2,2025-04-21T00:00:00+00:00,2025-04-21 20:07:10+00:00,Cloud9,LYON,66241,15.8
2025,split_2,2025-04-21T00:00:00+00:00,2025-04-21 20:07:10+00:00,Dignitas,FlyQuest,66240,15.8
2025,split_2,2025-04-21T00:00:00+00:00,2025-04-21 20:07:10+00:00,FlyQuest,Dignitas,66240,15.8
2025,split_2,2025-04-21T00:00:00+00:00,2025-04-21 20:07:10+00:00,Team Liquid,Disguised,66242,15.8
2025,split_2,2025-04-21T00:00:00+00:00,2025-04-21 20:07:10+00:00,SR,100 Thieves,66243,15.8
2025,split_2,2025-04-28T00:00:00+00:00,2025-05-03 20:08:26+00:00,Team Liquid,Disguised,67093,15.9
2025,split_2,2025-04-28T00:00:00+00:00,2025-05-03 20:08:26+00:00,Cloud9,LYON,67096,15.9
2025,split_2,2025-04-28T00:00:00+00:00,2025-05-03 20:08:26+00:00,FlyQuest,SR,67090,15.9
2025,split_2,2025-04-28T00:00:00+00:00,2025-05-03 20:08:26+00:00,SR,FlyQuest,67090,15.9
2025,split_2,2025-05-05T00:00:00+00:00,2025-05-10 20:09:23+00:00,FlyQuest,Dignitas,67519,15.9
2025,split_2,2025-05-05T00:00:00+00:00,2025-05-10 20:09:23+00:00,Cloud9,Team Liquid,67513,15.9
2025,split_2,2025-05-05T00:00:00+00:00,2025-05-10 20:09:23+00:00,LYON,Disguised,67522,15.9
2025,split_2,2025-05-05T00:00:00+00:00,2025-05-10 20:09:23+00:00,100 Thieves,SR,67516,15.9
2025,split_2,2025-05-05T00:00:00+00:00,2025-05-10 20:09:23+00:00,SR,100 Thieves,67516,15.9
2025,split_2,2025-05-05T00:00:00+00:00,2025-05-10 20:09:23+00:00,Team Liquid,Cloud9,67513,15.9
2025,split_2,2025-05-12T00:00:00+00:00,2025-05-17 20:08:05+00:00,Team Liquid,SR,67897,15.10
2025,split_2,2025-05-12T00:00:00+00:00,2025-05-17 20:08:05+00:00,100 Thieves,Disguised,67900,15.10
2025,split_2,2025-05-12T00:00:00+00:00,2025-05-17 20:08:05+00:00,FlyQuest,Cloud9,67891,15.10
2025,split_3,2025-07-21T00:00:00+00:00,2025-07-26 20:10:23+00:00,SR,Dignitas,69534,15.14
2025,split_3,2025-07-21T00:00:00+00:00,2025-07-26 20:10:23+00:00,FlyQuest,Disguised,69525,15.14
2025,split_3,2025-07-21T00:00:00+00:00,2025-07-26 20:10:23+00:00,Cloud9,LYON,69528,15.14
2025,split_3,2025-07-21T00:00:00+00:00,2025-07-26 20:10:23+00:00,Disguised,FlyQuest,69525,15.14
2025,split_3,2025-07-28T00:00:00+00:00,2025-08-02 20:08:18+00:00,Cloud9,Dignitas,70269,15.15
2025,split_3,2025-07-28T00:00:00+00:00,2025-08-02 20:08:18+00:00,Team Liquid,LYON,70266,15.15
2025,split_3,2025-07-28T00:00:00+00:00,2025-08-02 20:08:18+00:00,FlyQuest,100 Thieves,70263,15.15
2025,split_3,2025-07-28T00:00:00+00:00,2025-08-02 20:08:18+00:00,SR,Disguised,70272,15.15
2025,split_3,2025-07-28T00:00:00+00:00,2025-08-02 20:08:18+00:00,LYON,Team Liquid,70266,15.15
2025,split_3,2025-08-04T00:00:00+00:00,2025-08-09 20:06:58+00:00,FlyQuest,LYON,70673,15.15
2025,split_3,2025-08-04T00:00:00+00:00,2025-08-09 20:06:58+00:00,Cloud9,Team Liquid,70670,15.15
2025,split_3,2025-08-04T00:00:00+00:00,2025-08-09 20:06:58+00:00,LYON,FlyQuest,70673,15.15
2025,split_3,2025-08-04T00:00:00+00:00,2025-08-09 20:06:58+00:00,100 Thieves,SR,70676,15.15
2025,split_3,2025-08-04T00:00:00+00:00,2025-08-09 20:06:58+00:00,Dignitas,Disguised,70679,15.15
2025,split_3,2025-08-11T00:00:00+00:00,2025-08-16 20:06:27+00:00,FlyQuest,Team Liquid,71058,15.16
2025,split_3,2025-08-11T00:00:00+00:00,2025-08-16 20:06:27+00:00,Cloud9,SR,71053,15.16
2025,split_3,2025-08-11T00:00:00+00:00,2025-08-16 20:06:27+00:00,Team Liquid,FlyQuest,71058,15.16
2025,split_3,2025-08-11T00:00:00+00:00,2025-08-16 20:06:27+00:00,SR,Cloud9,71053,15.16
2025,split_3,2025-08-18T00:00:00+00:00,2025-08-23 20:06:29+00:00,100 Thieves,LYON,71048,15.16
2025,split_3,2025-08-18T00:00:00+00:00,2025-08-23 20:06:29+00:00,Dignitas,Disguised,71043,15.16
2025,split_3,2025-08-18T00:00:00+00:00,2025-08-23 20:06:29+00:00,LYON,100 Thieves,71048,15.16
2025,split_3,2025-08-18T00:00:00+00:00,2025-08-23 20:06:29+00:00,Disguised,Dignitas,71043,15.16
2025,split_3,2025-08-25T00:00:00+00:00,2025-08-29 20:06:10+00:00,100 Thieves,Team Liquid,71742,15.17
2025,split_3,2025-08-25T00:00:00+00:00,2025-08-29 20:06:10+00:00,FlyQuest,SR,71747,15.17
2025,split_3,2025-08-25T00:00:00+00:00,2025-08-29 20:06:10+00:00,Cloud9,Disguised,71737,15.17
2025,split_3,2025-08-25T00:00:00+00:00,2025-08-29 20:06:10+00:00,Team Liquid,100 Thieves,71742,15.17
2025,split_3,2025-08-25T00:00:00+00:00,2025-08-29 20:06:10+00:00,SR,FlyQuest,71747,15.17
2025,split_3,2025-09-01T00:00:00+00:00,2025-09-05 20:05:46+00:00,FlyQuest,100 Thieves,72293,15.17
2025,split_3,2025-09-01T00:00:00+00:00,2025-09-05 20:05:46+00:00,Cloud9,100 Thieves,72044,15.17
2025,split_3,2025-09-01T00:00:00+00:00,2025-09-05 20:05:46+00:00,SR,100 Thieves,72255,15.17
2026,split_1,period:0a890f671f8ce6bbde59,2026-05-02 20:10:20+00:00,LYON,Sentinels,77322,16.9
2026,split_1,period:0a890f671f8ce6bbde59,2026-05-02 20:10:20+00:00,Cloud9,Dignitas,77316,16.9
2026,split_1,period:0a890f671f8ce6bbde59,2026-05-02 20:10:20+00:00,Team Liquid,Disguised,77319,16.9
2026,split_1,period:74efed7e4a28a304cc30,2026-04-04 20:17:46+00:00,SR,Dignitas,76138,16.7
2026,split_1,period:74efed7e4a28a304cc30,2026-04-04 20:17:46+00:00,Dignitas,SR,76138,16.7
2026,split_1,period:74efed7e4a28a304cc30,2026-04-04 20:17:46+00:00,Sentinels,Disguised,75990,16.7
2026,split_1,period:74efed7e4a28a304cc30,2026-04-04 20:17:46+00:00,Team Liquid,FlyQuest,76135,16.7
2026,split_1,period:74efed7e4a28a304cc30,2026-04-04 20:17:46+00:00,Cloud9,LYON,75987,16.7
2026,split_1,period:9ad9f360f988761d91c1,2026-04-18 20:07:45+00:00,Cloud9,Disguised,76590,16.8
2026,split_1,period:9ad9f360f988761d91c1,2026-04-18 20:07:45+00:00,LYON,SR,76596,16.8
2026,split_1,period:9ad9f360f988761d91c1,2026-04-18 20:07:45+00:00,Team Liquid,Dignitas,76599,16.8
2026,split_1,period:9ad9f360f988761d91c1,2026-04-18 20:07:45+00:00,Sentinels,FlyQuest,76593,16.8
2026,split_1,period:9ad9f360f988761d91c1,2026-04-18 20:07:45+00:00,FlyQuest,Sentinels,76593,16.8
2026,split_1,period:b0a60cf2f3d3558f5e56,2026-04-25 20:09:02+00:00,FlyQuest,Dignitas,77013,16.8
2026,split_1,period:b0a60cf2f3d3558f5e56,2026-04-25 20:09:02+00:00,Team Liquid,Sentinels,77022,16.8
2026,split_1,period:b0a60cf2f3d3558f5e56,2026-04-25 20:09:02+00:00,Cloud9,SR,77016,16.8
2026,split_1,period:fc48b32f725285a09f66,2026-04-11 20:08:26+00:00,FlyQuest,Disguised,76147,16.7
2026,split_1,period:fc48b32f725285a09f66,2026-04-11 20:08:26+00:00,LYON,Dignitas,76144,16.7
2026,split_1,period:fc48b32f725285a09f66,2026-04-11 20:08:26+00:00,Team Liquid,SR,76141,16.7
2026,split_1,period:fc48b32f725285a09f66,2026-04-11 20:08:26+00:00,Disguised,FlyQuest,76147,16.7
