player,target_cutoff,team,role,locks_with_current_team,recent_starter_continuity,recent_teammate_change_count,latest_source_match_timestamp
FBI,2024-01-27 20:15:48+00:00,NRG,BOT,2,1.0,0,2024-01-21 23:00:01+00:00
Berserker,2024-01-27 20:15:48+00:00,Cloud9,BOT,2,1.0,0,2024-01-21 21:06:48+00:00
River,2024-01-27 20:15:48+00:00,100 Thieves,JGL,2,1.0,0,2024-01-21 21:06:48+00:00
Blaber,2024-01-27 20:15:48+00:00,Cloud9,JGL,2,1.0,0,2024-01-21 21:06:48+00:00
Mask,2024-01-27 20:15:48+00:00,Immortals,MID,2,1.0,0,2024-01-21 21:58:19+00:00
Jensen,2024-01-27 20:15:48+00:00,FlyQuest,MID,2,1.0,0,2024-01-21 21:58:19+00:00
huhi,2024-01-27 20:15:48+00:00,NRG,SUP,2,1.0,0,2024-01-21 23:00:01+00:00
CoreJJ,2024-01-27 20:15:48+00:00,Team Liquid,SUP,2,1.0,0,2024-01-21 20:12:13+00:00
Fudge,2024-01-27 20:15:48+00:00,Cloud9,TOP,2,1.0,0,2024-01-21 21:06:48+00:00
Sniper,2024-01-27 20:15:48+00:00,100 Thieves,TOP,2,1.0,0,2024-01-21 21:06:48+00:00
Inspired,2024-02-02 21:12:22+00:00,FlyQuest,JGL,4,1.0,0,2024-01-28 21:55:54+00:00
Blaber,2024-02-02 21:12:22+00:00,Cloud9,JGL,4,1.0,0,2024-01-28 21:10:15+00:00
Busio,2024-02-02 21:12:22+00:00,FlyQuest,SUP,4,1.0,0,2024-01-28 21:55:54+00:00
huhi,2024-02-02 21:12:22+00:00,NRG,SUP,4,1.0,0,2024-01-28 21:55:54+00:00
Rich,2024-02-02 21:12:22+00:00,Dignitas,TOP,4,1.0,0,2024-01-28 20:15:18+00:00
Sniper,2024-02-02 21:12:22+00:00,100 Thieves,TOP,4,1.0,0,2024-01-28 20:15:18+00:00
Tactical,2024-06-15 20:11:50+00:00,Immortals,BOT,14,1.0,0,2024-03-10 20:07:55+00:00
FBI,2024-06-15 20:11:50+00:00,NRG,BOT,15,1.0,0,2024-03-16 23:44:56+00:00
Inspired,2024-06-15 20:11:50+00:00,FlyQuest,JGL,17,1.0,0,2024-03-31 22:47:00+00:00
Blaber,2024-06-15 20:11:50+00:00,Cloud9,JGL,17,1.0,0,2024-03-30 22:05:18+00:00
Eyla,2024-06-15 20:11:50+00:00,100 Thieves,SUP,16,1.0,0,2024-03-22 22:49:47+00:00
CoreJJ,2024-06-15 20:11:50+00:00,Team Liquid,SUP,19,1.0,0,2024-03-31 22:47:00+00:00
Impact,2024-06-15 20:11:50+00:00,Team Liquid,TOP,19,1.0,0,2024-03-31 22:47:00+00:00
Zven,2024-06-22 20:11:50+00:00,Dignitas,BOT,16,1.8,4,2024-06-16 00:41:03+00:00
FBI,2024-06-22 20:11:50+00:00,NRG,BOT,16,1.0,0,2024-06-16 20:57:47+00:00
Blaber,2024-06-22 20:11:50+00:00,Cloud9,JGL,19,1.2,1,2024-06-16 00:41:03+00:00
Inspired,2024-06-22 20:11:50+00:00,FlyQuest,JGL,18,1.2,1,2024-06-15 22:02:04+00:00
APA,2024-06-22 20:11:50+00:00,Team Liquid,MID,20,1.0,0,2024-06-15 22:02:04+00:00
Quid,2024-06-22 20:11:50+00:00,100 Thieves,MID,17,1.0,0,2024-06-16 20:57:47+00:00
Thanatos,2024-06-22 20:11:50+00:00,Cloud9,TOP,19,1.2,1,2024-06-16 00:41:03+00:00
Licorice,2024-06-22 20:11:50+00:00,Dignitas,TOP,16,1.8,4,2024-06-16 00:41:03+00:00
Yeon,2024-06-27 20:07:21+00:00,Team Liquid,BOT,21,1.0,0,2024-06-23 23:33:13+00:00
Zven,2024-06-27 20:07:21+00:00,Dignitas,BOT,17,1.0,0,2024-06-22 22:47:46+00:00
Inspired,2024-06-27 20:07:21+00:00,FlyQuest,JGL,19,1.0,0,2024-06-23 21:52:38+00:00
Blaber,2024-06-27 20:07:21+00:00,Cloud9,JGL,20,1.0,0,2024-06-22 20:56:48+00:00
APA,2024-06-27 20:07:21+00:00,Team Liquid,MID,21,1.0,0,2024-06-23 23:33:13+00:00
Quad,2024-06-27 20:07:21+00:00,FlyQuest,MID,19,1.0,0,2024-06-23 21:52:38+00:00
huhi,2024-06-27 20:07:21+00:00,NRG,SUP,17,1.0,0,2024-06-23 21:52:38+00:00
CoreJJ,2024-06-27 20:07:21+00:00,Team Liquid,SUP,21,1.0,0,2024-06-23 23:33:13+00:00
Bvoy,2024-07-20 20:10:15+00:00,Shopify Rebellion,BOT,17,1.0,0,2024-06-28 20:47:05+00:00
Zven,2024-07-20 20:10:15+00:00,Dignitas,BOT,18,1.0,0,2024-06-28 22:16:26+00:00
Contractz,2024-07-20 20:10:15+00:00,NRG,JGL,18,1.0,0,2024-06-27 20:56:17+00:00
Blaber,2024-07-20 20:10:15+00:00,Cloud9,JGL,21,1.0,0,2024-06-28 20:47:05+00:00
APA,2024-07-20 20:10:15+00:00,Team Liquid,MID,22,1.0,0,2024-06-27 22:55:43+00:00
Quid,2024-07-20 20:10:15+00:00,100 Thieves,MID,19,1.0,0,2024-06-27 22:55:43+00:00
Vulcan,2024-07-20 20:10:15+00:00,Cloud9,SUP,21,1.0,0,2024-06-28 20:47:05+00:00
huhi,2024-07-20 20:10:15+00:00,NRG,SUP,18,1.0,0,2024-06-27 20:56:17+00:00
Berserker,2024-07-27 20:09:19+00:00,Cloud9,BOT,22,1.0,0,2024-07-21 20:54:21+00:00
Zven,2024-07-27 20:09:19+00:00,Dignitas,BOT,19,1.0,0,2024-07-20 21:46:03+00:00
Bugi,2024-07-27 20:09:19+00:00,Shopify Rebellion,JGL,18,1.2,1,2024-07-21 22:53:27+00:00
Blaber,2024-07-27 20:09:19+00:00,Cloud9,JGL,22,1.0,0,2024-07-21 20:54:21+00:00
APA,2024-07-27 20:09:19+00:00,Team Liquid,MID,23,1.0,0,2024-07-20 21:46:03+00:00
Quid,2024-07-27 20:09:19+00:00,100 Thieves,MID,20,1.0,0,2024-07-21 20:54:21+00:00
Busio,2024-07-27 20:09:19+00:00,FlyQuest,SUP,21,1.0,0,2024-07-20 23:21:38+00:00
