season,split,period_id,fantasy_lock_time,GoL_tournament,GoL_round,match_date,team,opponent,series_id,best_of,maximum_possible_games,patch,source_page_type,source_reference,retrieval_timestamp,identity_mapping_status
2025,split_1,2025-01-20T00:00:00+00:00,2025-01-25 21:14:31+00:00,ltanorth2025split1,ROUND1,2025-01-26,100 Thieves,Disguised,63418,,,15.2,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split1-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_1,2025-01-20T00:00:00+00:00,2025-01-25 21:14:31+00:00,ltanorth2025split1,ROUND1,2025-01-26,Team Liquid,Dignitas,63421,,,15.2,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split1-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_1,2025-01-20T00:00:00+00:00,2025-01-25 21:14:31+00:00,ltanorth2025split1,ROUND1,2025-01-25,FlyQuest,SR,63214,,,15.2,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split1-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_1,2025-01-20T00:00:00+00:00,2025-01-25 21:14:31+00:00,ltanorth2025split1,ROUND1,2025-01-25,Cloud9,LYON,63217,,,15.2,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split1-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_1,2025-01-20T00:00:00+00:00,2025-01-25 21:14:31+00:00,ltanorth2025split1,ROUND1,2025-01-26,Disguised,100 Thieves,63418,,,15.2,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split1-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_1,2025-01-27T00:00:00+00:00,2025-02-01 21:06:58+00:00,ltanorth2025split1,ROUND1,2025-02-01,LYON,SR,63476,,,15.2,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split1-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_1,2025-01-27T00:00:00+00:00,2025-02-01 21:06:58+00:00,ltanorth2025split1,ROUND1,2025-02-01,SR,LYON,63476,,,15.2,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split1-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_1,2025-01-27T00:00:00+00:00,2025-02-01 21:06:58+00:00,ltanorth2025split1,ROUND2,2025-02-02,Team Liquid,100 Thieves,63479,,,15.2,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split1-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_1,2025-01-27T00:00:00+00:00,2025-02-01 21:06:58+00:00,ltanorth2025split1,ROUND1,2025-02-01,Disguised,Dignitas,63473,,,15.2,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split1-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_1,2025-02-03T00:00:00+00:00,2025-02-03 00:15:46+00:00,ltanorth2025split1,ROUND2,2025-02-09,Dignitas,FlyQuest,63557,,,15.3,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split1-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-03-31T00:00:00+00:00,2025-04-05 20:14:15+00:00,ltanorth2025split2,WEEK1,2025-04-05,Cloud9,100 Thieves,65456,,,15.7,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-03-31T00:00:00+00:00,2025-04-05 20:14:15+00:00,ltanorth2025split2,WEEK1,2025-04-06,LYON,Dignitas,65461,,,15.7,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-03-31T00:00:00+00:00,2025-04-05 20:14:15+00:00,ltanorth2025split2,WEEK1,2025-04-05,SR,Dignitas,65455,,,15.7,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-03-31T00:00:00+00:00,2025-04-05 20:14:15+00:00,ltanorth2025split2,WEEK1,2025-04-05,FlyQuest,Team Liquid,65454,,,15.7,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-03-31T00:00:00+00:00,2025-04-05 20:14:15+00:00,ltanorth2025split2,WEEK1,2025-04-05,100 Thieves,Cloud9,65456,,,15.7,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-03-31T00:00:00+00:00,2025-04-05 20:14:15+00:00,ltanorth2025split2,WEEK1,2025-04-05,Team Liquid,FlyQuest,65454,,,15.7,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-03-31T00:00:00+00:00,2025-04-05 20:14:15+00:00,ltanorth2025split2,WEEK1,2025-04-05,Dignitas,SR,65455,,,15.7,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-07T00:00:00+00:00,2025-04-12 20:06:56+00:00,ltanorth2025split2,WEEK2,2025-04-12,100 Thieves,FlyQuest,65631,,,15.7,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-07T00:00:00+00:00,2025-04-12 20:06:56+00:00,ltanorth2025split2,WEEK2,2025-04-12,FlyQuest,100 Thieves,65631,,,15.7,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-07T00:00:00+00:00,2025-04-12 20:06:56+00:00,ltanorth2025split2,WEEK2,2025-04-12,Cloud9,Disguised,65630,,,15.7,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-07T00:00:00+00:00,2025-04-12 20:06:56+00:00,ltanorth2025split2,WEEK2,2025-04-12,LYON,SR,65633,,,15.7,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-07T00:00:00+00:00,2025-04-12 20:06:56+00:00,ltanorth2025split2,WEEK2,2025-04-12,Team Liquid,Dignitas,65632,,,15.7,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-14T00:00:00+00:00,2025-04-19 20:08:34+00:00,ltanorth2025split2,WEEK3,2025-04-19,SR,DSG,66235,,,15.8,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-14T00:00:00+00:00,2025-04-19 20:08:34+00:00,ltanorth2025split2,WEEK3,2025-04-19,Cloud9,Team Liquid,66233,,,15.8,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-14T00:00:00+00:00,2025-04-19 20:08:34+00:00,ltanorth2025split2,WEEK3,2025-04-19,Dignitas,100 Thieves,66234,,,15.8,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-14T00:00:00+00:00,2025-04-19 20:08:34+00:00,ltanorth2025split2,WEEK3,2025-04-19,FlyQuest,LYON,66232,,,15.8,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-14T00:00:00+00:00,2025-04-19 20:08:34+00:00,ltanorth2025split2,WEEK3,2025-04-19,100 Thieves,Dignitas,66234,,,15.8,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-14T00:00:00+00:00,2025-04-19 20:08:34+00:00,ltanorth2025split2,WEEK3,2025-04-19,Team Liquid,Cloud9,66233,,,15.8,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-21T00:00:00+00:00,2025-04-21 20:07:10+00:00,ltanorth2025split2,WEEK3,2025-04-21,Cloud9,LYON,66241,,,15.8,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-21T00:00:00+00:00,2025-04-21 20:07:10+00:00,ltanorth2025split2,WEEK3,2025-04-21,Dignitas,FlyQuest,66240,,,15.8,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-21T00:00:00+00:00,2025-04-21 20:07:10+00:00,ltanorth2025split2,WEEK3,2025-04-21,FlyQuest,Dignitas,66240,,,15.8,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-21T00:00:00+00:00,2025-04-21 20:07:10+00:00,ltanorth2025split2,WEEK3,2025-04-21,Team Liquid,Disguised,66242,,,15.8,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-21T00:00:00+00:00,2025-04-21 20:07:10+00:00,ltanorth2025split2,WEEK3,2025-04-21,SR,100 Thieves,66243,,,15.8,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-28T00:00:00+00:00,2025-05-03 20:08:26+00:00,ltanorth2025split2,WEEK5,2025-05-03,Team Liquid,Disguised,67093,,,15.9,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-28T00:00:00+00:00,2025-05-03 20:08:26+00:00,ltanorth2025split2,WEEK5,2025-05-04,Cloud9,LYON,67096,,,15.9,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-28T00:00:00+00:00,2025-05-03 20:08:26+00:00,ltanorth2025split2,WEEK5,2025-05-03,FlyQuest,SR,67090,,,15.9,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-04-28T00:00:00+00:00,2025-05-03 20:08:26+00:00,ltanorth2025split2,WEEK5,2025-05-03,SR,FlyQuest,67090,,,15.9,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-05-05T00:00:00+00:00,2025-05-10 20:09:23+00:00,ltanorth2025split2,WEEK6,2025-05-11,FlyQuest,Dignitas,67519,,,15.9,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-05-05T00:00:00+00:00,2025-05-10 20:09:23+00:00,ltanorth2025split2,WEEK6,2025-05-10,Cloud9,Team Liquid,67513,,,15.9,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
2025,split_2,2025-05-05T00:00:00+00:00,2025-05-10 20:09:23+00:00,ltanorth2025split2,WEEK6,2025-05-11,LYON,Disguised,67522,,,15.9,GoL tournament match-list cache,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/tournaments/ltanorth2025split2-matchlist.html,preserved repository cache,DETERMINISTIC_DATE_TEAM
