player_id,source_player_id,player_name,normalized_player_name,team_id,role,valid_from,valid_to,source_id,source_record_locator,identity_method,identity_confidence,quality_flags,provenance
oe:player:007be3acd5669d100711b13d79e2336,oe:player:007be3acd5669d100711b13d79e2336,Sniper,sniper,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,TOP,2024-01-20T20:15:01Z,2025-08-02T20:58:00Z,src_oracles_elixir,data/raw/oracles_elixir/2024_LoL_esports_match_data_from_OraclesElixir.csv#line=88646,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:0091a3bf5771fe6bbe6d4a37de32c6f,oe:player:0091a3bf5771fe6bbe6d4a37de32c6f,Lira,lira,oe:team:0dbb780176ecad18f17292d1f5653af,JGL,2025-01-26T23:00:44Z,2025-01-26T23:52:28Z,src_oracles_elixir,data/raw/oracles_elixir/2025_LoL_esports_match_data_from_OraclesElixir.csv#line=4695,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:023b976c0fc6ba4d350f2c06d333f62,oe:player:023b976c0fc6ba4d350f2c06d333f62,RJS,rjs,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,MID,2021-02-06T03:07:21Z,2021-02-22T01:10:12Z,src_oracles_elixir,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=20421,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:023b976c0fc6ba4d350f2c06d333f62,oe:player:023b976c0fc6ba4d350f2c06d333f62,RJS,rjs,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,TOP,2020-07-11T21:56:28Z,2020-07-12T22:40:38Z,src_oracles_elixir,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=72830,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:030a726de315d9ad86989bf360809e9,oe:player:030a726de315d9ad86989bf360809e9,Prince,prince,oe:team:2e66da41dc460dd378e3bcc57042d31,BOT,2023-01-27T00:33:09Z,2023-07-22T00:46:01Z,src_oracles_elixir,data/raw/oracles_elixir/2023_LoL_esports_match_data_from_OraclesElixir.csv#line=9466,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:046795fa30debe19eafd497dba544e3,oe:player:046795fa30debe19eafd497dba544e3,Instinct,instinct,oe:team:a22510a4756fa424cb0771b13261139,BOT,2022-01-14T21:26:31Z,2022-08-25T20:44:37Z,src_oracles_elixir,data/raw/oracles_elixir/2022_LoL_esports_match_data_from_OraclesElixir.csv#line=2585,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:05a73863e113f3cb6b472a76da2ea52,oe:player:05a73863e113f3cb6b472a76da2ea52,DARKWINGS,darkwings,oe:team:289284911fb6f41c0ccaecc3a0c2891,MID,2025-07-26T20:10:23Z,2025-08-29T23:27:33Z,src_oracles_elixir,data/raw/oracles_elixir/2025_LoL_esports_match_data_from_OraclesElixir.csv#line=82881,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:05a73863e113f3cb6b472a76da2ea52,oe:player:05a73863e113f3cb6b472a76da2ea52,DARKWINGS,darkwings,oe:team:f90422f1cbcb24bc2a855202582ec29,MID,2026-01-24T23:14:34Z,2026-07-25T23:45:03Z,src_oracles_elixir,data/raw/oracles_elixir/2026_LoL_esports_match_data_from_OraclesElixir.csv#line=4905,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:05fafeaf23dc3285558a4e968970b9f,oe:player:05fafeaf23dc3285558a4e968970b9f,CoreJJ,corejj,oe:team:8eb884e168f28402ce685bedebb5250,SUP,2020-01-25T21:37:53Z,2026-07-26T21:25:07Z,src_oracles_elixir,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=3923,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:0634d9e86284da2fae4e1438d564eee,oe:player:0634d9e86284da2fae4e1438d564eee,Perkz,perkz,oe:team:fc8e90107dabb9a35c490b0d86adea0,MID,2021-01-16T00:46:51Z,2021-08-28T23:52:05Z,src_oracles_elixir,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=36040,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:08936c56ab5a6453c58974a619651c3,oe:player:08936c56ab5a6453c58974a619651c3,eXyu,exyu,oe:team:0dbb780176ecad18f17292d1f5653af,JGL,2022-01-15T20:52:15Z,2026-07-25T23:45:03Z,src_oracles_elixir,data/raw/oracles_elixir/2022_LoL_esports_match_data_from_OraclesElixir.csv#line=2847,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:08936c56ab5a6453c58974a619651c3,oe:player:08936c56ab5a6453c58974a619651c3,eXyu,exyu,oe:team:289284911fb6f41c0ccaecc3a0c2891,JGL,2025-01-26T21:13:44Z,2025-08-29T23:27:33Z,src_oracles_elixir,data/raw/oracles_elixir/2025_LoL_esports_match_data_from_OraclesElixir.csv#line=4671,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:0908c66a5c361f682282599e75b334f,oe:player:0908c66a5c361f682282599e75b334f,SwordArt,swordart,oe:team:a22510a4756fa424cb0771b13261139,SUP,2021-01-15T23:10:17Z,2021-08-22T23:51:54Z,src_oracles_elixir,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=36090,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:09d60b7619558098c8be8459e6061b9,oe:player:09d60b7619558098c8be8459e6061b9,Luger,luger,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,BOT,2021-08-01T22:41:19Z,2021-08-01T22:41:19Z,src_oracles_elixir,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=117898,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:09d60b7619558098c8be8459e6061b9,oe:player:09d60b7619558098c8be8459e6061b9,Luger,luger,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,BOT,2022-01-15T22:02:29Z,2023-03-26T22:57:23Z,src_oracles_elixir,data/raw/oracles_elixir/2022_LoL_esports_match_data_from_OraclesElixir.csv#line=3154,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:0a53c1102dafce61e89decc517b3175,oe:player:0a53c1102dafce61e89decc517b3175,Loki,loki,oe:team:fc8e90107dabb9a35c490b0d86adea0,MID,2025-01-25T23:04:54Z,2026-07-26T21:25:07Z,src_oracles_elixir,data/raw/oracles_elixir/2025_LoL_esports_match_data_from_OraclesElixir.csv#line=4137,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:0f4e1aaabd074689b7d3ead824d1ee8,oe:player:0f4e1aaabd074689b7d3ead824d1ee8,Arrow,arrow,oe:team:c334c629fea759876e9e04afbe4aee7,BOT,2022-02-27T01:38:00Z,2022-03-27T21:59:54Z,src_oracles_elixir,data/raw/oracles_elixir/2022_LoL_esports_match_data_from_OraclesElixir.csv#line=32122,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:10be1f35d8b5ea6babf916a6e7dd8a4,oe:player:10be1f35d8b5ea6babf916a6e7dd8a4,Fleshy,fleshy,oe:team:c334c629fea759876e9e04afbe4aee7,SUP,2023-01-27T02:32:56Z,2023-03-18T01:18:42Z,src_oracles_elixir,data/raw/oracles_elixir/2023_LoL_esports_match_data_from_OraclesElixir.csv#line=9558,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:10fcffece0ac7be85f09c4b51a75762,oe:player:10fcffece0ac7be85f09c4b51a75762,Zven,zven,oe:team:0dbb780176ecad18f17292d1f5653af,BOT,2024-06-15T22:50:33Z,2024-08-30T23:58:30Z,src_oracles_elixir,data/raw/oracles_elixir/2024_LoL_esports_match_data_from_OraclesElixir.csv#line=88145,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:10fcffece0ac7be85f09c4b51a75762,oe:player:10fcffece0ac7be85f09c4b51a75762,Zven,zven,oe:team:fc8e90107dabb9a35c490b0d86adea0,BOT,2020-01-25T21:37:53Z,2026-06-13T21:59:47Z,src_oracles_elixir,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=3929,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:10fcffece0ac7be85f09c4b51a75762,oe:player:10fcffece0ac7be85f09c4b51a75762,Zven,zven,oe:team:fc8e90107dabb9a35c490b0d86adea0,SUP,2022-06-25T20:09:54Z,2023-08-20T23:14:37Z,src_oracles_elixir,data/raw/oracles_elixir/2022_LoL_esports_match_data_from_OraclesElixir.csv#line=122759,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:1970fcb701acce66e0771946bbb3105,oe:player:1970fcb701acce66e0771946bbb3105,UmTi,umti,oe:team:8eb884e168f28402ce685bedebb5250,JGL,2024-01-20T20:15:01Z,2025-05-25T21:52:08Z,src_oracles_elixir,data/raw/oracles_elixir/2024_LoL_esports_match_data_from_OraclesElixir.csv#line=88148,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:1b20b8ba37a25e699096e74abba1664,oe:player:1b20b8ba37a25e699096e74abba1664,Diplex,diplex,oe:team:fc8e90107dabb9a35c490b0d86adea0,MID,2023-01-26T22:16:48Z,2023-02-17T23:59:32Z,src_oracles_elixir,data/raw/oracles_elixir/2023_LoL_esports_match_data_from_OraclesElixir.csv#line=9436,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:1b26a8bba6e841f1c375b283db5c1c6,oe:player:1b26a8bba6e841f1c375b283db5c1c6,Keine,keine,oe:team:0dbb780176ecad18f17292d1f5653af,MID,2025-01-26T23:00:44Z,2025-08-23T22:39:00Z,src_oracles_elixir,data/raw/oracles_elixir/2025_LoL_esports_match_data_from_OraclesElixir.csv#line=4696,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:1d22c812efd7b8a4244d93c51acc399,oe:player:1d22c812efd7b8a4244d93c51acc399,Dove,dove,oe:team:0dbb780176ecad18f17292d1f5653af,MID,2024-01-20T23:30:02Z,2024-03-17T21:43:44Z,src_oracles_elixir,data/raw/oracles_elixir/2024_LoL_esports_match_data_from_OraclesElixir.csv#line=2476,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:1efc4e5732e91520d03385900b903f9,oe:player:1efc4e5732e91520d03385900b903f9,Thanatos,thanatos,oe:team:fc8e90107dabb9a35c490b0d86adea0,TOP,2024-06-15T22:50:33Z,2026-07-26T21:25:07Z,src_oracles_elixir,data/raw/oracles_elixir/2024_LoL_esports_match_data_from_OraclesElixir.csv#line=88651,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:1f0f5ce849abab00c4283182c04efd0,oe:player:1f0f5ce849abab00c4283182c04efd0,Hoon,hoon,oe:team:0dbb780176ecad18f17292d1f5653af,TOP,2022-07-30T21:15:46Z,2022-08-14T23:36:01Z,src_oracles_elixir,data/raw/oracles_elixir/2022_LoL_esports_match_data_from_OraclesElixir.csv#line=122707,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:20aba59cf47a04a6cf10436ce1946ac,oe:player:20aba59cf47a04a6cf10436ce1946ac,Hauntzer,hauntzer,oe:team:87ee02298073abc2d55060f097d4041,TOP,2020-01-25T23:39:30Z,2020-08-23T23:21:02Z,src_oracles_elixir,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=3943,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
