normalized_dataset,normalized_primary_key,source_id,raw_snapshot_sha256,source_record_locator,normalizer_version,normalization_timestamp_utc,direct_evidence,inference_used,inference_rule,quality_flags
competition_split_stage,LCS:2020:spring:playoffs,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2020:spring:regular,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2020:summer:playoffs,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2020:summer:regular,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2021:spring:playoffs,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2021:spring:regular,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2021:summer:playoffs,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2021:summer:regular,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2022:spring:playoffs,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2022:spring:regular,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2022:summer:playoffs,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2022:summer:regular,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2022:unknown:playoffs,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2023:spring:playoffs,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2023:spring:regular,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2023:summer:playoffs,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2023:summer:regular,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2024:spring:playoffs,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2024:spring:regular,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2024:summer:playoffs,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2024:summer:regular,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2025:split1:regular,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2025:split2:playoffs,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2025:split2:regular,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2025:split3:regular,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2026:lockin:regular,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2026:spring:playoffs,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2026:spring:regular,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
competition_split_stage,LCS:2026:summer:regular,src_oracles_elixir,,,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1291406,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=3902,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1291426,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=3914,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1291442,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=3926,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1291458,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=3938,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1291748,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=4214,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1291789,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=4238,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1291812,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=4262,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1291835,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=4274,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1292345,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=4670,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1292354,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=4718,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1295383,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=8138,player_model_v2_stage_3d_normalizer_v1,,true,false,,
games,ESPORTSTMNT01/1295402,src_oracles_elixir,7e2ad1e6c603745aaf7c32aa52b650affe3ca04581674601f97a38a31d0bc3fa,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=8150,player_model_v2_stage_3d_normalizer_v1,,true,false,,
