schedule_event_id,series_id,competition_id,season,split_id,stage_id,team_1_id,team_2_id,scheduled_start_utc,actual_start_utc,status,revision_id,revision_timestamp_utc,best_of,source_id,quality_flags,provenance
oe-series:005be95c265753b6381c36d7,oe-series:005be95c265753b6381c36d7,LCS,2021,LCS:2021:spring,LCS:2021:spring:regular,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,oe:team:a22510a4756fa424cb0771b13261139,,2021-03-06T21:43:29Z,UNKNOWN,,,UNKNOWN,src_oracles_elixir,NO_PRELOCK_SCHEDULE;NO_REVISION_HISTORY;BEST_OF_UNKNOWN,POSTEVENT_CONTEXT_ONLY
oe-series:00cd698133931b9aa7657a38,oe-series:00cd698133931b9aa7657a38,LCS,2021,LCS:2021:summer,LCS:2021:summer:regular,oe:team:fc8e90107dabb9a35c490b0d86adea0,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,,2021-06-05T22:57:53Z,UNKNOWN,,,UNKNOWN,src_oracles_elixir,NO_PRELOCK_SCHEDULE;NO_REVISION_HISTORY;BEST_OF_UNKNOWN,POSTEVENT_CONTEXT_ONLY
oe-series:00f56964f18f65c8d5d48a4a,oe-series:00f56964f18f65c8d5d48a4a,LCS,2020,LCS:2020:summer,LCS:2020:summer:regular,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,oe:team:f7f7324c151aa6ed770b244ce08e027,,2020-07-12T22:40:38Z,UNKNOWN,,,UNKNOWN,src_oracles_elixir,NO_PRELOCK_SCHEDULE;NO_REVISION_HISTORY;BEST_OF_UNKNOWN,POSTEVENT_CONTEXT_ONLY
oe-series:0117e0e819d6fea30c3f3a2d,oe-series:0117e0e819d6fea30c3f3a2d,LCS,2021,LCS:2021:summer,LCS:2021:summer:regular,oe:team:fc8e90107dabb9a35c490b0d86adea0,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,,2021-07-23T20:58:06Z,UNKNOWN,,,UNKNOWN,src_oracles_elixir,NO_PRELOCK_SCHEDULE;NO_REVISION_HISTORY;BEST_OF_UNKNOWN,POSTEVENT_CONTEXT_ONLY
oe-series:0120ac4ebbfebdb50ce63f58,oe-series:0120ac4ebbfebdb50ce63f58,LCS,2021,LCS:2021:spring,LCS:2021:spring:regular,oe:team:2e66da41dc460dd378e3bcc57042d31,oe:team:a22510a4756fa424cb0771b13261139,,2021-02-28T20:31:48Z,UNKNOWN,,,UNKNOWN,src_oracles_elixir,NO_PRELOCK_SCHEDULE;NO_REVISION_HISTORY;BEST_OF_UNKNOWN,POSTEVENT_CONTEXT_ONLY
oe-series:0121a46388da68ee3dbe90f7,oe-series:0121a46388da68ee3dbe90f7,LCS,2024,LCS:2024:spring,LCS:2024:spring:regular,oe:team:c334c629fea759876e9e04afbe4aee7,oe:team:2e66da41dc460dd378e3bcc57042d31,,2024-01-21T21:58:19Z,UNKNOWN,,,UNKNOWN,src_oracles_elixir,NO_PRELOCK_SCHEDULE;NO_REVISION_HISTORY;BEST_OF_UNKNOWN,POSTEVENT_CONTEXT_ONLY
oe-series:014d7f6a3772468133ed03d1,oe-series:014d7f6a3772468133ed03d1,LCS,2022,LCS:2022:spring,LCS:2022:spring:regular,oe:team:fc8e90107dabb9a35c490b0d86adea0,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,,2022-03-20T22:32:35Z,UNKNOWN,,,UNKNOWN,src_oracles_elixir,NO_PRELOCK_SCHEDULE;NO_REVISION_HISTORY;BEST_OF_UNKNOWN,POSTEVENT_CONTEXT_ONLY
oe-series:0150f460d0d70b6011d5b61a,oe-series:0150f460d0d70b6011d5b61a,LCS,2026,LCS:2026:lockin,LCS:2026:lockin:regular,oe:team:da1143bf9a245b78a8dc86417de85b3,oe:team:2e66da41dc460dd378e3bcc57042d31,,2026-02-21T21:08:42Z,UNKNOWN,,,UNKNOWN,src_oracles_elixir,NO_PRELOCK_SCHEDULE;NO_REVISION_HISTORY;BEST_OF_UNKNOWN,POSTEVENT_CONTEXT_ONLY
oe-series:0161e3568704998e5e8498f9,oe-series:0161e3568704998e5e8498f9,LCS,2021,LCS:2021:summer,LCS:2021:summer:regular,oe:team:fc8e90107dabb9a35c490b0d86adea0,oe:team:f7f7324c151aa6ed770b244ce08e027,,2021-07-11T22:35:06Z,UNKNOWN,,,UNKNOWN,src_oracles_elixir,NO_PRELOCK_SCHEDULE;NO_REVISION_HISTORY;BEST_OF_UNKNOWN,POSTEVENT_CONTEXT_ONLY
oe-series:01ee9bb7c566a35913bdd7ca,oe-series:01ee9bb7c566a35913bdd7ca,LCS,2023,LCS:2023:summer,LCS:2023:summer:regular,oe:team:c334c629fea759876e9e04afbe4aee7,oe:team:f7f7324c151aa6ed770b244ce08e027,,2023-07-19T21:07:18Z,UNKNOWN,,,UNKNOWN,src_oracles_elixir,NO_PRELOCK_SCHEDULE;NO_REVISION_HISTORY;BEST_OF_UNKNOWN,POSTEVENT_CONTEXT_ONLY
oe-series:024fc9a1b0ec3913762add32,oe-series:024fc9a1b0ec3913762add32,LCS,2020,LCS:2020:summer,LCS:2020:summer:regular,oe:team:0dbb780176ecad18f17292d1f5653af,oe:team:a22510a4756fa424cb0771b13261139,,2020-06-14T20:31:15Z,UNKNOWN,,,UNKNOWN,src_oracles_elixir,NO_PRELOCK_SCHEDULE;NO_REVISION_HISTORY;BEST_OF_UNKNOWN,POSTEVENT_CONTEXT_ONLY
oe-series:027aa0025e08564d22efe668,oe-series:027aa0025e08564d22efe668,LCS,2025,LCS:2025:split2,LCS:2025:split2:regular,oe:team:fc8e90107dabb9a35c490b0d86adea0,oe:team:8eb884e168f28402ce685bedebb5250,,2025-05-10T20:09:23Z,UNKNOWN,,,UNKNOWN,src_oracles_elixir,NO_PRELOCK_SCHEDULE;NO_REVISION_HISTORY;BEST_OF_UNKNOWN,POSTEVENT_CONTEXT_ONLY
oe-series:02ecfcc6bce3115a6e15ad53,oe-series:02ecfcc6bce3115a6e15ad53,LCS,2026,LCS:2026:lockin,LCS:2026:lockin:regular,oe:team:0dbb780176ecad18f17292d1f5653af,oe:team:f90422f1cbcb24bc2a855202582ec29,,2026-01-31T23:09:01Z,UNKNOWN,,,UNKNOWN,src_oracles_elixir,NO_PRELOCK_SCHEDULE;NO_REVISION_HISTORY;BEST_OF_UNKNOWN,POSTEVENT_CONTEXT_ONLY
oe-series:0376d22dbbda6d8cb5137197,oe-series:0376d22dbbda6d8cb5137197,LCS,2021,LCS:2021:spring,LCS:2021:spring:regular,oe:team:f7f7324c151aa6ed770b244ce08e027,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,,2021-03-14T22:41:19Z,UNKNOWN,,,UNKNOWN,src_oracles_elixir,NO_PRELOCK_SCHEDULE;NO_REVISION_HISTORY;BEST_OF_UNKNOWN,POSTEVENT_CONTEXT_ONLY
