oe_game_id,gol_game_id,gol_game_url,competition_id,season,split_or_tournament,event_date,team_1_id,team_2_id,game_number,match_method,match_confidence,direct_evidence,secondary_evidence,ambiguity_status,provenance
ESPORTSTMNT01/1291406,20923,https://gol.gg/game/stats/20923/page-fullstats/,LCS,2020,LCS Spring 2020,2020-02-01,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,1,SEASON_TEAM_PAIR_GAME_NUMBER_NORTH_AMERICA_EVENT_DATE_THEN_BOUNDED_RESCHEDULE_FALLBACK,EXACT,Gol tournament/date/team pair/game number and OE season/team pair/game number/date,Ten player identities validated uniquely within the crosswalked game; normalized role retained from OE,EXACT_STRUCTURAL_MATCH,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/games/game-20923-fullstats.html + data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=3902
ESPORTSTMNT01/1291426,20924,https://gol.gg/game/stats/20924/page-fullstats/,LCS,2020,LCS Spring 2020,2020-02-01,oe:team:0dbb780176ecad18f17292d1f5653af,oe:team:8eb884e168f28402ce685bedebb5250,1,SEASON_TEAM_PAIR_GAME_NUMBER_NORTH_AMERICA_EVENT_DATE_THEN_BOUNDED_RESCHEDULE_FALLBACK,EXACT,Gol tournament/date/team pair/game number and OE season/team pair/game number/date,Ten player identities validated uniquely within the crosswalked game; normalized role retained from OE,EXACT_STRUCTURAL_MATCH,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/games/game-20924-fullstats.html + data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=3914
ESPORTSTMNT01/1291442,20925,https://gol.gg/game/stats/20925/page-fullstats/,LCS,2020,LCS Spring 2020,2020-02-01,oe:team:fc8e90107dabb9a35c490b0d86adea0,oe:team:c334c629fea759876e9e04afbe4aee7,1,SEASON_TEAM_PAIR_GAME_NUMBER_NORTH_AMERICA_EVENT_DATE_THEN_BOUNDED_RESCHEDULE_FALLBACK,EXACT,Gol tournament/date/team pair/game number and OE season/team pair/game number/date,Ten player identities validated uniquely within the crosswalked game; normalized role retained from OE,EXACT_STRUCTURAL_MATCH,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/games/game-20925-fullstats.html + data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=3926
ESPORTSTMNT01/1291458,20926,https://gol.gg/game/stats/20926/page-fullstats/,LCS,2020,LCS Spring 2020,2020-02-01,oe:team:f7f7324c151aa6ed770b244ce08e027,oe:team:87ee02298073abc2d55060f097d4041,1,SEASON_TEAM_PAIR_GAME_NUMBER_NORTH_AMERICA_EVENT_DATE_THEN_BOUNDED_RESCHEDULE_FALLBACK,EXACT,Gol tournament/date/team pair/game number and OE season/team pair/game number/date,Ten player identities validated uniquely within the crosswalked game; normalized role retained from OE,EXACT_STRUCTURAL_MATCH,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/games/game-20926-fullstats.html + data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=3938
ESPORTSTMNT01/1291748,20928,https://gol.gg/game/stats/20928/page-fullstats/,LCS,2020,LCS Spring 2020,2020-02-02,oe:team:8eb884e168f28402ce685bedebb5250,oe:team:2e66da41dc460dd378e3bcc57042d31,1,SEASON_TEAM_PAIR_GAME_NUMBER_NORTH_AMERICA_EVENT_DATE_THEN_BOUNDED_RESCHEDULE_FALLBACK,EXACT,Gol tournament/date/team pair/game number and OE season/team pair/game number/date,Ten player identities validated uniquely within the crosswalked game; normalized role retained from OE,EXACT_STRUCTURAL_MATCH,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/games/game-20928-fullstats.html + data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=4214
ESPORTSTMNT01/1291789,20927,https://gol.gg/game/stats/20927/page-fullstats/,LCS,2020,LCS Spring 2020,2020-02-02,oe:team:f7f7324c151aa6ed770b244ce08e027,oe:team:a22510a4756fa424cb0771b13261139,1,SEASON_TEAM_PAIR_GAME_NUMBER_NORTH_AMERICA_EVENT_DATE_THEN_BOUNDED_RESCHEDULE_FALLBACK,EXACT,Gol tournament/date/team pair/game number and OE season/team pair/game number/date,Ten player identities validated uniquely within the crosswalked game; normalized role retained from OE,EXACT_STRUCTURAL_MATCH,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/games/game-20927-fullstats.html + data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=4238
ESPORTSTMNT01/1291812,20929,https://gol.gg/game/stats/20929/page-fullstats/,LCS,2020,LCS Spring 2020,2020-02-02,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,oe:team:fc8e90107dabb9a35c490b0d86adea0,1,SEASON_TEAM_PAIR_GAME_NUMBER_NORTH_AMERICA_EVENT_DATE_THEN_BOUNDED_RESCHEDULE_FALLBACK,EXACT,Gol tournament/date/team pair/game number and OE season/team pair/game number/date,Ten player identities validated uniquely within the crosswalked game; normalized role retained from OE,EXACT_STRUCTURAL_MATCH,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/games/game-20929-fullstats.html + data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=4262
ESPORTSTMNT01/1291835,20930,https://gol.gg/game/stats/20930/page-fullstats/,LCS,2020,LCS Spring 2020,2020-02-02,oe:team:c334c629fea759876e9e04afbe4aee7,oe:team:87ee02298073abc2d55060f097d4041,1,SEASON_TEAM_PAIR_GAME_NUMBER_NORTH_AMERICA_EVENT_DATE_THEN_BOUNDED_RESCHEDULE_FALLBACK,EXACT,Gol tournament/date/team pair/game number and OE season/team pair/game number/date,Ten player identities validated uniquely within the crosswalked game; normalized role retained from OE,EXACT_STRUCTURAL_MATCH,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/games/game-20930-fullstats.html + data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=4274
ESPORTSTMNT01/1292345,20931,https://gol.gg/game/stats/20931/page-fullstats/,LCS,2020,LCS Spring 2020,2020-02-03,oe:team:2e66da41dc460dd378e3bcc57042d31,oe:team:0dbb780176ecad18f17292d1f5653af,1,SEASON_TEAM_PAIR_GAME_NUMBER_NORTH_AMERICA_EVENT_DATE_THEN_BOUNDED_RESCHEDULE_FALLBACK,EXACT,Gol tournament/date/team pair/game number and OE season/team pair/game number/date,Ten player identities validated uniquely within the crosswalked game; normalized role retained from OE,EXACT_STRUCTURAL_MATCH,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/games/game-20931-fullstats.html + data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=4670
ESPORTSTMNT01/1292354,20932,https://gol.gg/game/stats/20932/page-fullstats/,LCS,2020,LCS Spring 2020,2020-02-03,oe:team:a22510a4756fa424cb0771b13261139,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,1,SEASON_TEAM_PAIR_GAME_NUMBER_NORTH_AMERICA_EVENT_DATE_THEN_BOUNDED_RESCHEDULE_FALLBACK,EXACT,Gol tournament/date/team pair/game number and OE season/team pair/game number/date,Ten player identities validated uniquely within the crosswalked game; normalized role retained from OE,EXACT_STRUCTURAL_MATCH,data/raw/gol_gg/player_model_v2_stage_3d/acquisition/games/game-20932-fullstats.html + data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=4718
