team_id,prediction_period_id,canonical_matchup_probability,team_strength,opponent_count,series_count,total_expected_games,matchup_uncertainty,method,shared_within_team,no_target_outcome,evidence_class
oe:team:0dbb780176ecad18f17292d1f5653af,period:01bed218199c5fc6a295,0.5,-0.36349242,2.0,2.0,2.0,0.1,phase_d_pairwise_expected_games_weighted,True,True,STRUCTURAL_RECONCILIATION_DERIVED
oe:team:2e66da41dc460dd378e3bcc57042d31,period:01bed218199c5fc6a295,0.5,-0.36349242,2.0,2.0,2.0,0.1,phase_d_pairwise_expected_games_weighted,True,True,STRUCTURAL_RECONCILIATION_DERIVED
oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,period:01bed218199c5fc6a295,0.5,-0.36349242,2.0,2.0,2.0,0.1,phase_d_pairwise_expected_games_weighted,True,True,STRUCTURAL_RECONCILIATION_DERIVED
oe:team:87ee02298073abc2d55060f097d4041,period:01bed218199c5fc6a295,0.5,-0.36349242,1.0,1.0,1.0,0.1,phase_d_pairwise_expected_games_weighted,True,True,STRUCTURAL_RECONCILIATION_DERIVED
oe:team:8eb884e168f28402ce685bedebb5250,period:01bed218199c5fc6a295,0.5,-0.36349242,2.0,2.0,2.0,0.1,phase_d_pairwise_expected_games_weighted,True,True,STRUCTURAL_RECONCILIATION_DERIVED
oe:team:a22510a4756fa424cb0771b13261139,period:01bed218199c5fc6a295,0.5,-0.36349242,2.0,2.0,2.0,0.1,phase_d_pairwise_expected_games_weighted,True,True,STRUCTURAL_RECONCILIATION_DERIVED
oe:team:c334c629fea759876e9e04afbe4aee7,period:01bed218199c5fc6a295,0.5,-0.36349242,3.0,3.0,3.0,0.1,phase_d_pairwise_expected_games_weighted,True,True,STRUCTURAL_RECONCILIATION_DERIVED
oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,period:01bed218199c5fc6a295,0.5,-0.36349242,2.0,2.0,2.0,0.1,phase_d_pairwise_expected_games_weighted,True,True,STRUCTURAL_RECONCILIATION_DERIVED
oe:team:f7f7324c151aa6ed770b244ce08e027,period:01bed218199c5fc6a295,0.5,-0.36349242,2.0,2.0,2.0,0.1,phase_d_pairwise_expected_games_weighted,True,True,STRUCTURAL_RECONCILIATION_DERIVED
oe:team:fc8e90107dabb9a35c490b0d86adea0,period:01bed218199c5fc6a295,0.5,-0.36349242,2.0,2.0,2.0,0.1,phase_d_pairwise_expected_games_weighted,True,True,STRUCTURAL_RECONCILIATION_DERIVED
oe:team:2e66da41dc460dd378e3bcc57042d31,period:03ffd32cfddfafb63d73,0.55489158,0.25028127,1.0,2.0,5.0,0.1,phase_d_pairwise_expected_games_weighted,True,True,STRUCTURAL_RECONCILIATION_DERIVED
oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,period:03ffd32cfddfafb63d73,0.4964806,0.01574858,1.0,1.0,2.5,0.1,phase_d_pairwise_expected_games_weighted,True,True,STRUCTURAL_RECONCILIATION_DERIVED
oe:team:8eb884e168f28402ce685bedebb5250,period:03ffd32cfddfafb63d73,0.521377,0.27437354,2.0,2.0,5.0,0.1,phase_d_pairwise_expected_games_weighted,True,True,STRUCTURAL_RECONCILIATION_DERIVED
oe:team:b360f1d729b0a8e0f29a5243c4200fa,period:03ffd32cfddfafb63d73,0.46457875,0.02982641,2.0,3.0,7.5,0.1,phase_d_pairwise_expected_games_weighted,True,True,STRUCTURAL_RECONCILIATION_DERIVED
