series_id,team_id,opponent_team_id,prediction_period_id,season,split,stage,series_date,series_format,target_cutoff,match_status,match_keys,evidence_class
oe_structural:2020:2020-01-25:e4094adae7b9,oe:team:0dbb780176ecad18f17292d1f5653af,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2024:2024-01-20:c7e6432db0a1,oe:team:0dbb780176ecad18f17292d1f5653af,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2026:2026-01-24:ae0b87cca71c,oe:team:289284911fb6f41c0ccaecc3a0c2891,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2024:2024-01-20:cebebeabf229,oe:team:2e66da41dc460dd378e3bcc57042d31,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2020:2020-01-25:0f2ff3f87a64,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2021:2021-01-15:e80489b959a7,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2022:2022-01-14:5d2f24b2a8a7,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2023:2023-01-26:85783347cfc6,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2024:2024-01-20:9739d2d3a8f2,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2020:2020-01-25:0f2ff3f87a64,oe:team:87ee02298073abc2d55060f097d4041,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2022:2022-01-14:1f68e994aca8,oe:team:87ee02298073abc2d55060f097d4041,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2023:2023-01-26:9383c5c0a022,oe:team:87ee02298073abc2d55060f097d4041,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2020:2020-01-25:084416ff2c3c,oe:team:8eb884e168f28402ce685bedebb5250,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2021:2021-01-15:e0a5a7e5a4f7,oe:team:8eb884e168f28402ce685bedebb5250,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2024:2024-01-20:9739d2d3a8f2,oe:team:8eb884e168f28402ce685bedebb5250,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2026:2026-01-24:c9a2839a5ec3,oe:team:8eb884e168f28402ce685bedebb5250,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2021:2021-01-15:e80489b959a7,oe:team:a22510a4756fa424cb0771b13261139,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2022:2022-01-14:5d2f24b2a8a7,oe:team:a22510a4756fa424cb0771b13261139,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2024:2024-01-20:cebebeabf229,oe:team:b360f1d729b0a8e0f29a5243c4200fa,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2024:2024-01-20:c7e6432db0a1,oe:team:c334c629fea759876e9e04afbe4aee7,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2020:2020-01-25:e4094adae7b9,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2021:2021-01-15:e0a5a7e5a4f7,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2024:2024-01-20:4a19c2aa49ee,oe:team:e758ebe9a5a2cc81b9c8078479c2d87,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2023:2023-01-26:9383c5c0a022,oe:team:f7f7324c151aa6ed770b244ce08e027,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2026:2026-01-24:ae0b87cca71c,oe:team:f90422f1cbcb24bc2a855202582ec29,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2020:2020-01-25:084416ff2c3c,oe:team:fc8e90107dabb9a35c490b0d86adea0,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2022:2022-01-14:1f68e994aca8,oe:team:fc8e90107dabb9a35c490b0d86adea0,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2023:2023-01-26:85783347cfc6,oe:team:fc8e90107dabb9a35c490b0d86adea0,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2024:2024-01-20:4a19c2aa49ee,oe:team:fc8e90107dabb9a35c490b0d86adea0,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2026:2026-01-24:c9a2839a5ec3,oe:team:fc8e90107dabb9a35c490b0d86adea0,nan,nan,nan,nan,nan,nan,nan,nan,UNMATCHED,no matching period found,nan
oe_structural:2020:2020-01-26:a28179167c6f,oe:team:0dbb780176ecad18f17292d1f5653af,oe:team:f7f7324c151aa6ed770b244ce08e027,period:01bed218199c5fc6a295,2020.0,Spring,regular,2020-01-26,BO1,2020-01-25T21:37:53+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2020, team=oe:team:0dbb780176ecad18f17292d1f5653af, cutoff<=2020-01-26T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2020:2020-02-01:f85e7fbacaeb,oe:team:0dbb780176ecad18f17292d1f5653af,oe:team:8eb884e168f28402ce685bedebb5250,period:01bed218199c5fc6a295,2020.0,Spring,regular,2020-02-01,BO1,2020-01-25T21:37:53+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2020, team=oe:team:0dbb780176ecad18f17292d1f5653af, cutoff<=2020-02-01T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2020:2020-01-26:07cce5d43783,oe:team:2e66da41dc460dd378e3bcc57042d31,oe:team:c334c629fea759876e9e04afbe4aee7,period:01bed218199c5fc6a295,2020.0,Spring,regular,2020-01-26,BO1,2020-01-25T21:37:53+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2020, team=oe:team:2e66da41dc460dd378e3bcc57042d31, cutoff<=2020-01-26T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2020:2020-01-26:ec2047abec64,oe:team:2e66da41dc460dd378e3bcc57042d31,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,period:01bed218199c5fc6a295,2020.0,Spring,regular,2020-01-26,BO1,2020-01-25T21:37:53+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2020, team=oe:team:2e66da41dc460dd378e3bcc57042d31, cutoff<=2020-01-26T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2020:2020-01-28:6c48bbf14b0e,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,oe:team:f7f7324c151aa6ed770b244ce08e027,period:01bed218199c5fc6a295,2020.0,Spring,regular,2020-01-28,BO1,2020-01-25T21:37:53+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2020, team=oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6, cutoff<=2020-01-28T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2020:2020-02-01:315c982cd10f,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,period:01bed218199c5fc6a295,2020.0,Spring,regular,2020-02-01,BO1,2020-01-25T21:37:53+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2020, team=oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6, cutoff<=2020-02-01T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2020:2020-01-26:30faa5cc03ce,oe:team:87ee02298073abc2d55060f097d4041,oe:team:fc8e90107dabb9a35c490b0d86adea0,period:01bed218199c5fc6a295,2020.0,Spring,regular,2020-01-26,BO1,2020-01-25T21:37:53+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2020, team=oe:team:87ee02298073abc2d55060f097d4041, cutoff<=2020-01-26T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2020:2020-01-28:abf777a4f61d,oe:team:8eb884e168f28402ce685bedebb5250,oe:team:a22510a4756fa424cb0771b13261139,period:01bed218199c5fc6a295,2020.0,Spring,regular,2020-01-28,BO1,2020-01-25T21:37:53+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2020, team=oe:team:8eb884e168f28402ce685bedebb5250, cutoff<=2020-01-28T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2020:2020-02-01:f85e7fbacaeb,oe:team:8eb884e168f28402ce685bedebb5250,oe:team:0dbb780176ecad18f17292d1f5653af,period:01bed218199c5fc6a295,2020.0,Spring,regular,2020-02-01,BO1,2020-01-25T21:37:53+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2020, team=oe:team:8eb884e168f28402ce685bedebb5250, cutoff<=2020-02-01T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2020:2020-01-26:1c572339d63b,oe:team:a22510a4756fa424cb0771b13261139,oe:team:c334c629fea759876e9e04afbe4aee7,period:01bed218199c5fc6a295,2020.0,Spring,regular,2020-01-26,BO1,2020-01-25T21:37:53+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2020, team=oe:team:a22510a4756fa424cb0771b13261139, cutoff<=2020-01-26T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
oe_structural:2020:2020-01-28:abf777a4f61d,oe:team:a22510a4756fa424cb0771b13261139,oe:team:8eb884e168f28402ce685bedebb5250,period:01bed218199c5fc6a295,2020.0,Spring,regular,2020-01-28,BO1,2020-01-25T21:37:53+00:00,HIGH_CONFIDENCE_STRUCTURAL,"season=2020, team=oe:team:a22510a4756fa424cb0771b13261139, cutoff<=2020-01-28T00:00:00+00:00",STRUCTURAL_RECONCILIATION_ONLY
