fixture_id,season,competition_id,split_id,stage_id,prediction_period_id,period_label,period_sequence,prediction_lock_utc,period_end_utc,scheduled_start_utc,team_a_source,team_b_source,team_a_id,team_b_id,best_of,source_type,source_name,source_url,provenance_class,fixed_before_prediction,schedule_change_flag,period_mapping_method,validation_status,notes
fixture:64ac81fda344c28c72f5,2024,LCS,LCS:2024:spring,LCS:2024:spring:regular,period:27c11f42e65c97b901b8,LCS:2024:spring:regular:event-group-01,1,2024-01-20T20:15:01Z,2024-01-21T23:00:01Z,2024-01-20T20:00:00Z,Team Liquid,100 Thieves,team:team_liquid,team:100_thieves,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,EXISTING_PIT_EVENT_GROUP_PLUS_SCHEDULE_ROUND,WEB_SCHEDULE_VERIFIED,Opponent identity sourced from tournament Match Schedule; schedule-history pages used only as cross-check where search snippets were truncated.
fixture:7544f292a6e4629d5f6e,2024,LCS,LCS:2024:spring,LCS:2024:spring:regular,period:27c11f42e65c97b901b8,LCS:2024:spring:regular:event-group-01,1,2024-01-20T20:15:01Z,2024-01-21T23:00:01Z,2024-01-20T21:00:00Z,NRG,Cloud9,team:nrg,team:cloud9,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,EXISTING_PIT_EVENT_GROUP_PLUS_SCHEDULE_ROUND,WEB_SCHEDULE_VERIFIED,Opponent identity sourced from tournament Match Schedule; schedule-history pages used only as cross-check where search snippets were truncated.
fixture:8ff8011d401e2d8498bf,2024,LCS,LCS:2024:spring,LCS:2024:spring:regular,period:27c11f42e65c97b901b8,LCS:2024:spring:regular:event-group-01,1,2024-01-20T20:15:01Z,2024-01-21T23:00:01Z,2024-01-20T22:00:00Z,FlyQuest,Shopify Rebellion,team:flyquest,team:shopify_rebellion,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,EXISTING_PIT_EVENT_GROUP_PLUS_SCHEDULE_ROUND,WEB_SCHEDULE_VERIFIED,Opponent identity sourced from tournament Match Schedule; schedule-history pages used only as cross-check where search snippets were truncated.
fixture:98a0f28c34214a06d05f,2024,LCS,LCS:2024:spring,LCS:2024:spring:regular,period:27c11f42e65c97b901b8,LCS:2024:spring:regular:event-group-01,1,2024-01-20T20:15:01Z,2024-01-21T23:00:01Z,2024-01-20T23:00:00Z,Dignitas,Immortals,team:dignitas,team:immortals,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,EXISTING_PIT_EVENT_GROUP_PLUS_SCHEDULE_ROUND,WEB_SCHEDULE_VERIFIED,Opponent identity sourced from tournament Match Schedule; schedule-history pages used only as cross-check where search snippets were truncated.
fixture:ae8d27ea447df34cf45a,2024,LCS,LCS:2024:spring,LCS:2024:spring:regular,period:27c11f42e65c97b901b8,LCS:2024:spring:regular:event-group-01,1,2024-01-20T20:15:01Z,2024-01-21T23:00:01Z,2024-01-21T20:00:00Z,Team Liquid,Shopify Rebellion,team:team_liquid,team:shopify_rebellion,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,EXISTING_PIT_EVENT_GROUP_PLUS_SCHEDULE_ROUND,WEB_SCHEDULE_VERIFIED,Opponent identity sourced from tournament Match Schedule; schedule-history pages used only as cross-check where search snippets were truncated.
fixture:021a105b17c0a24fc4a2,2024,LCS,LCS:2024:spring,LCS:2024:spring:regular,period:27c11f42e65c97b901b8,LCS:2024:spring:regular:event-group-01,1,2024-01-20T20:15:01Z,2024-01-21T23:00:01Z,2024-01-21T21:00:00Z,100 Thieves,Cloud9,team:100_thieves,team:cloud9,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,EXISTING_PIT_EVENT_GROUP_PLUS_SCHEDULE_ROUND,WEB_SCHEDULE_VERIFIED,Opponent identity sourced from tournament Match Schedule; schedule-history pages used only as cross-check where search snippets were truncated.
fixture:e9d34848c624869efbe2,2024,LCS,LCS:2024:spring,LCS:2024:spring:regular,period:27c11f42e65c97b901b8,LCS:2024:spring:regular:event-group-01,1,2024-01-20T20:15:01Z,2024-01-21T23:00:01Z,2024-01-21T22:00:00Z,FlyQuest,Immortals,team:flyquest,team:immortals,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,EXISTING_PIT_EVENT_GROUP_PLUS_SCHEDULE_ROUND,WEB_SCHEDULE_VERIFIED,Opponent identity sourced from tournament Match Schedule; schedule-history pages used only as cross-check where search snippets were truncated.
fixture:e144a92c75d62b8e1048,2024,LCS,LCS:2024:spring,LCS:2024:spring:regular,period:27c11f42e65c97b901b8,LCS:2024:spring:regular:event-group-01,1,2024-01-20T20:15:01Z,2024-01-21T23:00:01Z,2024-01-21T23:00:00Z,NRG,Dignitas,team:nrg,team:dignitas,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,EXISTING_PIT_EVENT_GROUP_PLUS_SCHEDULE_ROUND,WEB_SCHEDULE_VERIFIED,Opponent identity sourced from tournament Match Schedule; schedule-history pages used only as cross-check where search snippets were truncated.
fixture:9d821fd8a0fcaa8f9aa1,2024,LCS,LCS:2024:spring,LCS:2024:spring:regular,period:ab546300266e49331659,LCS:2024:spring:regular:event-group-02,2,2024-01-27T20:15:48Z,2024-01-28T22:51:09Z,2024-01-27T20:00:00Z,Dignitas,Cloud9,team:dignitas,team:cloud9,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,EXISTING_PIT_EVENT_GROUP_PLUS_SCHEDULE_ROUND,WEB_SCHEDULE_VERIFIED,Opponent identity sourced from tournament Match Schedule; schedule-history pages used only as cross-check where search snippets were truncated.
fixture:57e2fed3de67305dd245,2024,LCS,LCS:2024:spring,LCS:2024:spring:regular,period:ab546300266e49331659,LCS:2024:spring:regular:event-group-02,2,2024-01-27T20:15:48Z,2024-01-28T22:51:09Z,2024-01-27T21:00:00Z,NRG,100 Thieves,team:nrg,team:100_thieves,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,EXISTING_PIT_EVENT_GROUP_PLUS_SCHEDULE_ROUND,WEB_SCHEDULE_VERIFIED,Opponent identity sourced from tournament Match Schedule; schedule-history pages used only as cross-check where search snippets were truncated.
