prediction_period_id,season,split_id,stage_id,period_label,prediction_lock_utc,period_end_utc,fixture_count,unique_team_count,source_coverage,status
period:448a8f91622619afdbe7,2024,LCS:2024:spring,LCS:2024:spring:playoffs,LCS:2024:spring:playoffs:event-group-01,2024-03-14T20:08:02Z,2024-03-17T21:43:44Z,4,6,100%,PASS
period:18a8b98d7b5d7f0b7105,2024,LCS:2024:spring,LCS:2024:spring:playoffs,LCS:2024:spring:playoffs:event-group-02,2024-03-22T20:08:04Z,2024-03-23T21:55:31Z,2,4,100%,PASS
period:0c3bfca85acd014e625d,2024,LCS:2024:spring,LCS:2024:spring:playoffs,LCS:2024:spring:playoffs:event-group-03,2024-03-30T20:22:30Z,2024-03-31T22:47:00Z,2,3,100%,PASS
period:27c11f42e65c97b901b8,2024,LCS:2024:spring,LCS:2024:spring:regular,LCS:2024:spring:regular:event-group-01,2024-01-20T20:15:01Z,2024-01-21T23:00:01Z,8,8,100%,PASS
period:ab546300266e49331659,2024,LCS:2024:spring,LCS:2024:spring:regular,LCS:2024:spring:regular:event-group-02,2024-01-27T20:15:48Z,2024-01-28T22:51:09Z,8,8,100%,PASS
period:f82eb58c594ccc349383,2024,LCS:2024:spring,LCS:2024:spring:regular,LCS:2024:spring:regular:event-group-03,2024-02-02T21:12:22Z,2024-02-04T23:23:54Z,12,8,100%,PASS
period:06566a2ea584fecf6c15,2024,LCS:2024:spring,LCS:2024:spring:regular,LCS:2024:spring:regular:event-group-04,2024-02-10T21:07:54Z,2024-02-11T23:41:19Z,8,8,100%,PASS
period:789a06731adc1e0c8798,2024,LCS:2024:spring,LCS:2024:spring:regular,LCS:2024:spring:regular:event-group-05,2024-03-02T21:07:29Z,2024-03-04T00:06:51Z,8,8,100%,PASS
period:a0f9da327c11cf3cc717,2024,LCS:2024:spring,LCS:2024:spring:regular,LCS:2024:spring:regular:event-group-06,2024-03-08T21:07:46Z,2024-03-10T23:49:34Z,12,8,100%,PASS
period:5218e82018c8910d187b,2024,LCS:2024:summer,LCS:2024:summer:playoffs,LCS:2024:summer:playoffs:event-group-01,2024-08-17T20:07:21Z,2024-08-18T22:50:10Z,2,4,100%,PASS
period:c0a1c4ffff2a32aacb10,2024,LCS:2024:summer,LCS:2024:summer:playoffs,LCS:2024:summer:playoffs:event-group-02,2024-08-23T20:07:51Z,2024-08-25T22:51:53Z,3,6,100%,PASS
period:3685f26c9338932445a9,2024,LCS:2024:summer,LCS:2024:summer:playoffs,LCS:2024:summer:playoffs:event-group-03,2024-08-30T20:08:40Z,2024-09-01T22:37:27Z,3,5,100%,PASS
period:77186dc9e4b5f1acc2df,2024,LCS:2024:summer,LCS:2024:summer:playoffs,LCS:2024:summer:playoffs:event-group-04,2024-09-06T20:13:13Z,2024-09-07T22:46:24Z,2,3,100%,PASS
period:697d8a8453920f1ff1c8,2024,LCS:2024:summer,LCS:2024:summer:regular,LCS:2024:summer:regular:event-group-01,2024-06-15T20:11:50Z,2024-06-16T22:33:45Z,4,8,100%,PASS
period:ea10f8bb7f189dc4197a,2024,LCS:2024:summer,LCS:2024:summer:regular,LCS:2024:summer:regular:event-group-02,2024-06-22T20:11:50Z,2024-06-23T23:33:13Z,4,8,100%,PASS
period:fb51ebc6418ce68c46c6,2024,LCS:2024:summer,LCS:2024:summer:regular,LCS:2024:summer:regular:event-group-03,2024-06-27T20:07:21Z,2024-06-28T22:16:26Z,4,8,100%,PASS
period:0f3dd675ff7b55987f43,2024,LCS:2024:summer,LCS:2024:summer:regular,LCS:2024:summer:regular:event-group-04,2024-07-20T20:10:15Z,2024-07-21T22:53:27Z,4,8,100%,PASS
period:29c7eddc03e68fe96070,2024,LCS:2024:summer,LCS:2024:summer:regular,LCS:2024:summer:regular:event-group-05,2024-07-27T20:09:19Z,2024-07-28T23:12:39Z,4,8,100%,PASS
period:03ffd32cfddfafb63d73,2024,LCS:2024:summer,LCS:2024:summer:regular,LCS:2024:summer:regular:event-group-06,2024-08-03T20:08:15Z,2024-08-05T00:15:54Z,4,8,100%,PASS
