prediction_period,team_id,scheduled_opponents,opponent_count,fixture_ids,validation_status
2024-01-15 00:00:00+00:00,team:100_thieves,"[""team:cloud9"",""team:team_liquid""]",2,"[""fixture:021a105b17c0a24fc4a2"",""fixture:64ac81fda344c28c72f5""]",PASS
2024-01-15 00:00:00+00:00,team:cloud9,"[""team:100_thieves"",""team:nrg""]",2,"[""fixture:021a105b17c0a24fc4a2"",""fixture:7544f292a6e4629d5f6e""]",PASS
2024-01-15 00:00:00+00:00,team:dignitas,"[""team:immortals"",""team:nrg""]",2,"[""fixture:98a0f28c34214a06d05f"",""fixture:e144a92c75d62b8e1048""]",PASS
2024-01-15 00:00:00+00:00,team:flyquest,"[""team:immortals"",""team:shopify_rebellion""]",2,"[""fixture:8ff8011d401e2d8498bf"",""fixture:e9d34848c624869efbe2""]",PASS
2024-01-15 00:00:00+00:00,team:immortals,"[""team:dignitas"",""team:flyquest""]",2,"[""fixture:98a0f28c34214a06d05f"",""fixture:e9d34848c624869efbe2""]",PASS
2024-01-15 00:00:00+00:00,team:nrg,"[""team:cloud9"",""team:dignitas""]",2,"[""fixture:7544f292a6e4629d5f6e"",""fixture:e144a92c75d62b8e1048""]",PASS
2024-01-15 00:00:00+00:00,team:shopify_rebellion,"[""team:flyquest"",""team:team_liquid""]",2,"[""fixture:8ff8011d401e2d8498bf"",""fixture:ae8d27ea447df34cf45a""]",PASS
2024-01-15 00:00:00+00:00,team:team_liquid,"[""team:100_thieves"",""team:shopify_rebellion""]",2,"[""fixture:64ac81fda344c28c72f5"",""fixture:ae8d27ea447df34cf45a""]",PASS
2024-01-22 00:00:00+00:00,team:100_thieves,"[""team:dignitas"",""team:nrg""]",2,"[""fixture:0efad8381a0f419710f7"",""fixture:57e2fed3de67305dd245""]",PASS
2024-01-22 00:00:00+00:00,team:cloud9,"[""team:dignitas"",""team:shopify_rebellion""]",2,"[""fixture:56ba049225becafcdabd"",""fixture:9d821fd8a0fcaa8f9aa1""]",PASS
