prediction_period,season,scheduled_start_utc,team_a_source,team_b_source,team_a_id,team_b_id,best_of,source_type,source_name,source_url,provenance_class,fixed_before_prediction,schedule_change_flag,validation_status,fixture_id
2024-01-15 00:00:00+00:00,2024,2024-01-20T20:00:00Z,Team Liquid,100 Thieves,team:team_liquid,team:100_thieves,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:64ac81fda344c28c72f5
2024-01-15 00:00:00+00:00,2024,2024-01-20T21:00:00Z,NRG,Cloud9,team:nrg,team:cloud9,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:7544f292a6e4629d5f6e
2024-01-15 00:00:00+00:00,2024,2024-01-20T22:00:00Z,FlyQuest,Shopify Rebellion,team:flyquest,team:shopify_rebellion,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:8ff8011d401e2d8498bf
2024-01-15 00:00:00+00:00,2024,2024-01-20T23:00:00Z,Dignitas,Immortals,team:dignitas,team:immortals,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:98a0f28c34214a06d05f
2024-01-15 00:00:00+00:00,2024,2024-01-21T20:00:00Z,Team Liquid,Shopify Rebellion,team:team_liquid,team:shopify_rebellion,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:ae8d27ea447df34cf45a
2024-01-15 00:00:00+00:00,2024,2024-01-21T21:00:00Z,100 Thieves,Cloud9,team:100_thieves,team:cloud9,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:021a105b17c0a24fc4a2
2024-01-15 00:00:00+00:00,2024,2024-01-21T22:00:00Z,FlyQuest,Immortals,team:flyquest,team:immortals,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:e9d34848c624869efbe2
2024-01-15 00:00:00+00:00,2024,2024-01-21T23:00:00Z,NRG,Dignitas,team:nrg,team:dignitas,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:e144a92c75d62b8e1048
2024-01-22 00:00:00+00:00,2024,2024-01-27T20:00:00Z,Dignitas,Cloud9,team:dignitas,team:cloud9,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:9d821fd8a0fcaa8f9aa1
2024-01-22 00:00:00+00:00,2024,2024-01-27T21:00:00Z,NRG,100 Thieves,team:nrg,team:100_thieves,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:57e2fed3de67305dd245
2024-01-22 00:00:00+00:00,2024,2024-01-27T22:00:00Z,FlyQuest,Team Liquid,team:flyquest,team:team_liquid,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:935845ff988c6188b481
2024-01-22 00:00:00+00:00,2024,2024-01-27T23:00:00Z,Shopify Rebellion,Immortals,team:shopify_rebellion,team:immortals,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:b9f752bcdee5bea3bd42
2024-01-22 00:00:00+00:00,2024,2024-01-28T20:00:00Z,Dignitas,100 Thieves,team:dignitas,team:100_thieves,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:0efad8381a0f419710f7
2024-01-22 00:00:00+00:00,2024,2024-01-28T21:00:00Z,Shopify Rebellion,Cloud9,team:shopify_rebellion,team:cloud9,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:56ba049225becafcdabd
2024-01-22 00:00:00+00:00,2024,2024-01-28T22:00:00Z,NRG,FlyQuest,team:nrg,team:flyquest,1,LEAGUEPEDIA_MATCH_SCHEDULE,Leaguepedia LCS 2024 Spring Match Schedule,https://lol.fandom.com/wiki/LCS/2024_Season/Spring_Season,CLASS_B_IMMUTABLE_HISTORICAL_FIXTURE,True,ASSUMED_NONE_PER_PROJECT_RULE,WEB_SCHEDULE_VERIFIED,fixture:32de0e1e31cc18d06de2
