prediction_period_id,team_id,scheduled_opponents,opponent_count,fixture_ids,validation_status
period:00fa1c99fc0a0ea50678,team:conviction,"[""team:estral_esports""]",1,"[""fixture:91f0f693d24f1fd61b98""]",PASS
period:00fa1c99fc0a0ea50678,team:estral_esports,"[""team:conviction""]",1,"[""fixture:91f0f693d24f1fd61b98""]",PASS
period:00fa1c99fc0a0ea50678,team:luminosity_gaming,"[""team:sdm_tigres""]",1,"[""fixture:27f607d8e2632740b64e""]",PASS
period:00fa1c99fc0a0ea50678,team:sdm_tigres,"[""team:luminosity_gaming""]",1,"[""fixture:27f607d8e2632740b64e""]",PASS
period:03ffd32cfddfafb63d73,team:100_thieves,"[""team:immortals""]",1,"[""fixture:9cacff8da14b56b93d06""]",PASS
period:03ffd32cfddfafb63d73,team:cloud9,"[""team:team_liquid""]",1,"[""fixture:6c40e3b7cf1ad5228191""]",PASS
period:03ffd32cfddfafb63d73,team:dignitas,"[""team:nrg""]",1,"[""fixture:df4ab456dca07a10dbf1""]",PASS
period:03ffd32cfddfafb63d73,team:flyquest,"[""team:shopify_rebellion""]",1,"[""fixture:658a69e591ff27eadf45""]",PASS
period:03ffd32cfddfafb63d73,team:immortals,"[""team:100_thieves""]",1,"[""fixture:9cacff8da14b56b93d06""]",PASS
period:03ffd32cfddfafb63d73,team:nrg,"[""team:dignitas""]",1,"[""fixture:df4ab456dca07a10dbf1""]",PASS
period:03ffd32cfddfafb63d73,team:shopify_rebellion,"[""team:flyquest""]",1,"[""fixture:658a69e591ff27eadf45""]",PASS
period:03ffd32cfddfafb63d73,team:team_liquid,"[""team:cloud9""]",1,"[""fixture:6c40e3b7cf1ad5228191""]",PASS
period:06566a2ea584fecf6c15,team:100_thieves,"[""team:cloud9"",""team:team_liquid""]",2,"[""fixture:79451cc77db30c2eb780"",""fixture:b6d1062b9d75c7249a24""]",PASS
period:06566a2ea584fecf6c15,team:cloud9,"[""team:100_thieves"",""team:nrg""]",2,"[""fixture:12181165a5b3d20da419"",""fixture:b6d1062b9d75c7249a24""]",PASS
period:06566a2ea584fecf6c15,team:dignitas,"[""team:immortals"",""team:nrg""]",2,"[""fixture:1ca4a3f4762aa37808c9"",""fixture:a9a7716100f90311197b""]",PASS
period:06566a2ea584fecf6c15,team:flyquest,"[""team:immortals"",""team:shopify_rebellion""]",2,"[""fixture:d1ffdf6d4a0fb09a8c16"",""fixture:d6e61787c85cdae5dd76""]",PASS
period:06566a2ea584fecf6c15,team:immortals,"[""team:dignitas"",""team:flyquest""]",2,"[""fixture:1ca4a3f4762aa37808c9"",""fixture:d1ffdf6d4a0fb09a8c16""]",PASS
period:06566a2ea584fecf6c15,team:nrg,"[""team:cloud9"",""team:dignitas""]",2,"[""fixture:12181165a5b3d20da419"",""fixture:a9a7716100f90311197b""]",PASS
