candidate_id,year,total_rows,full_history_count,full_history_pct,partial_history_count,partial_history_pct,zero_history_fallback_count,zero_history_fallback_pct,avg_recent_games_count,std_recent_games_count
RECENCY_3,2024,675,655,97.04,9,1.33,11,1.63,2.94,0.4
RECENCY_3,2025,838,764,91.17,20,2.39,54,6.44,2.78,0.75
RECENCY_3,pooled,1513,1419,93.79,29,1.92,65,4.3,2.85,0.62
RECENCY_5_BASELINE,2024,675,645,95.56,19,2.81,11,1.63,4.86,0.73
RECENCY_5_BASELINE,2025,838,750,89.5,34,4.06,54,6.44,4.58,1.31
RECENCY_5_BASELINE,pooled,1513,1395,92.2,53,3.5,65,4.3,4.7,1.1
RECENCY_7,2024,675,642,95.11,22,3.26,11,1.63,6.76,1.12
RECENCY_7,2025,838,730,87.11,54,6.44,54,6.44,6.32,1.91
RECENCY_7,pooled,1513,1372,90.68,76,5.02,65,4.3,6.52,1.62
RECENCY_10,2024,675,622,92.15,42,6.22,11,1.63,9.56,1.76
RECENCY_10,2025,838,709,84.61,75,8.95,54,6.44,8.88,2.86
RECENCY_10,pooled,1513,1331,87.97,117,7.73,65,4.3,9.19,2.46
RECENCY_15_SENSITIVITY,2024,675,601,89.04,63,9.33,11,1.63,14.08,3.02
RECENCY_15_SENSITIVITY,2025,838,686,81.86,98,11.69,54,6.44,13.04,4.57
RECENCY_15_SENSITIVITY,pooled,1513,1287,85.06,161,10.64,65,4.3,13.51,3.99
RECENCY_EWMA_H2,2024,675,645,95.56,19,2.81,11,1.63,3.29,0.48
RECENCY_EWMA_H2,2025,838,750,89.5,34,4.06,54,6.44,3.1,0.87
RECENCY_EWMA_H2,pooled,1513,1395,92.2,53,3.5,65,4.3,3.19,0.73
RECENCY_EWMA_H4,2024,675,645,95.56,19,2.81,11,1.63,5.58,0.94
RECENCY_EWMA_H4,2025,838,750,89.5,34,4.06,54,6.44,5.21,1.58
RECENCY_EWMA_H4,pooled,1513,1395,92.2,53,3.5,65,4.3,5.37,1.35
RECENCY_EWMA_H6,2024,675,645,95.56,19,2.81,11,1.63,7.19,1.3
RECENCY_EWMA_H6,2025,838,750,89.5,34,4.06,54,6.44,6.69,2.12
RECENCY_EWMA_H6,pooled,1513,1395,92.2,53,3.5,65,4.3,6.92,1.82
