year,prediction_period,player,role,team,team_fe_delta,s30_base_pred,s30_cand_pred,s30_base_share,s30_cand_share,fe_base_delta,fe_cand_delta,fe_share_diff
2024,2024-01-15 00:00:00+00:00,APA,MID,Team Liquid,-3.2124611000000005,14.4892,14.4034,0.2134,0.2135,-0.6857,-0.686,-0.0004
2024,2024-01-15 00:00:00+00:00,Armao,JGL,Immortals,0.3381538000000018,11.0336,11.6032,0.1659,0.1748,0.0561,0.0591,0.003
2024,2024-01-15 00:00:00+00:00,Berserker,BOT,Cloud9,2.8743073000000017,15.4466,16.125,0.2231,0.2277,0.6413,0.6545,0.0132
2024,2024-01-15 00:00:00+00:00,Blaber,JGL,Cloud9,2.8743073000000017,11.1271,11.8409,0.1607,0.1672,0.4619,0.4806,0.0186
2024,2024-01-15 00:00:00+00:00,Bugi,JGL,Shopify Rebellion,4.0578456,11.1473,11.1779,0.1616,0.1655,0.6559,0.6717,0.0158
2024,2024-01-15 00:00:00+00:00,Busio,SUP,FlyQuest,-0.6763076000000006,13.0481,13.2093,0.1984,0.1959,-0.1342,-0.1325,0.0017
2024,2024-01-15 00:00:00+00:00,Bwipo,TOP,FlyQuest,-0.6763076000000006,13.0881,13.4011,0.199,0.1987,-0.1346,-0.1344,0.0002
2024,2024-01-15 00:00:00+00:00,Castle,TOP,Immortals,0.3381538000000018,12.0108,11.8522,0.1806,0.1785,0.0611,0.0604,-0.0007
2024,2024-01-15 00:00:00+00:00,Contractz,JGL,NRG,-1.690769,13.2981,13.3449,0.1785,0.178,-0.3019,-0.3009,0.001
2024,2024-01-15 00:00:00+00:00,CoreJJ,SUP,Team Liquid,-3.2124611000000005,13.1766,13.3675,0.1941,0.1982,-0.6235,-0.6367,-0.0131
2024,2024-01-15 00:00:00+00:00,Dhokla,TOP,NRG,-1.690769,14.7222,14.4607,0.1976,0.1928,-0.3342,-0.326,0.0081
2024,2024-01-15 00:00:00+00:00,Dove,MID,Dignitas,-1.0144613999999994,13.9065,13.8687,0.2159,0.2178,-0.219,-0.221,-0.0019
2024,2024-01-15 00:00:00+00:00,Eyla,SUP,100 Thieves,-2.1979996999999982,12.5444,12.7615,0.1892,0.1896,-0.4159,-0.4167,-0.0008
2024,2024-01-15 00:00:00+00:00,FBI,BOT,NRG,-1.690769,16.8095,16.9334,0.2257,0.2258,-0.3816,-0.3818,-0.0002
2024,2024-01-15 00:00:00+00:00,FakeGod,TOP,Shopify Rebellion,4.0578456,12.8451,12.8769,0.1863,0.1907,0.7558,0.7738,0.018
2024,2024-01-15 00:00:00+00:00,Fudge,TOP,Cloud9,2.8743073000000017,13.3635,13.9063,0.193,0.1964,0.5548,0.5644,0.0096
2024,2024-01-15 00:00:00+00:00,Impact,TOP,Team Liquid,-3.2124611000000005,14.4901,14.0334,0.2135,0.2081,-0.6857,-0.6684,0.0173
2024,2024-01-15 00:00:00+00:00,Insanity,MID,Shopify Rebellion,4.0578456,15.9365,15.7126,0.2311,0.2327,0.9377,0.9443,0.0066
2024,2024-01-15 00:00:00+00:00,Inspired,JGL,FlyQuest,-0.6763076000000006,11.3447,11.6488,0.1725,0.1727,-0.1167,-0.1168,-0.0002
2024,2024-01-15 00:00:00+00:00,Isles,SUP,Dignitas,-1.0144613999999994,12.4284,12.2458,0.193,0.1924,-0.1958,-0.1951,0.0006
2024,2024-01-15 00:00:00+00:00,Jensen,MID,FlyQuest,-0.6763076000000006,14.2485,15.1424,0.2167,0.2245,-0.1465,-0.1519,-0.0053
2024,2024-01-15 00:00:00+00:00,Jojopyun,MID,Cloud9,2.8743073000000017,15.0823,15.2787,0.2178,0.2157,0.6262,0.6201,-0.006
2024,2024-01-15 00:00:00+00:00,Mask,MID,Immortals,0.3381538000000018,13.9065,13.8687,0.2091,0.2089,0.0707,0.0706,-0.0001
2024,2024-01-15 00:00:00+00:00,Massu,BOT,FlyQuest,-0.6763076000000006,14.0333,14.033,0.2134,0.2081,-0.1443,-0.1407,0.0036
2024,2024-01-15 00:00:00+00:00,Meech,BOT,100 Thieves,-2.1979996999999982,14.0607,14.0714,0.2121,0.209,-0.4661,-0.4594,0.0067
2024,2024-01-15 00:00:00+00:00,Olleh,SUP,Immortals,0.3381538000000018,13.6715,13.2078,0.2055,0.1989,0.0695,0.0673,-0.0022
2024,2024-01-15 00:00:00+00:00,Palafox,MID,NRG,-1.690769,16.0189,16.3064,0.2151,0.2175,-0.3636,-0.3677,-0.004
2024,2024-01-15 00:00:00+00:00,Quid,MID,100 Thieves,-2.1979996999999982,15.6447,16.1088,0.236,0.2393,-0.5186,-0.526,-0.0073
2024,2024-01-15 00:00:00+00:00,Rich,TOP,Dignitas,-1.0144613999999994,12.6927,12.4396,0.1971,0.1954,-0.1999,-0.1982,0.0017
2024,2024-01-15 00:00:00+00:00,River,JGL,100 Thieves,-2.1979996999999982,11.854,12.2614,0.1788,0.1821,-0.393,-0.4003,-0.0074
2024,2024-01-15 00:00:00+00:00,Sniper,TOP,100 Thieves,-2.1979996999999982,12.198,12.1149,0.184,0.18,-0.4044,-0.3956,0.0088
2024,2024-01-15 00:00:00+00:00,Tactical,BOT,Immortals,0.3381538000000018,15.896,15.8572,0.239,0.2389,0.0808,0.0808,-0.0
2024,2024-01-15 00:00:00+00:00,Tomo,BOT,Dignitas,-1.0144613999999994,14.4417,14.9625,0.2242,0.235,-0.2275,-0.2384,-0.0109
2024,2024-01-15 00:00:00+00:00,UmTi,JGL,Team Liquid,-3.2124611000000005,10.5118,10.5269,0.1548,0.1561,-0.4974,-0.5014,-0.0039
2024,2024-01-15 00:00:00+00:00,Vulcan,SUP,Cloud9,2.8743073000000017,14.2145,13.6684,0.2053,0.193,0.5901,0.5548,-0.0354
2024,2024-01-15 00:00:00+00:00,WildTurtle,BOT,Shopify Rebellion,4.0578456,14.6068,14.0342,0.2118,0.2078,0.8595,0.8434,-0.0161
2024,2024-01-15 00:00:00+00:00,Yeon,BOT,Team Liquid,-3.2124611000000005,15.2174,15.1168,0.2242,0.2241,-0.7201,-0.72,0.0001
2024,2024-01-15 00:00:00+00:00,Zeyzal,SUP,Shopify Rebellion,4.0578456,14.4285,13.7218,0.2092,0.2032,0.849,0.8246,-0.0244
2024,2024-01-15 00:00:00+00:00,eXyu,JGL,Dignitas,-1.0144613999999994,10.9345,10.1471,0.1698,0.1594,-0.1722,-0.1617,0.0105
2024,2024-01-15 00:00:00+00:00,huhi,SUP,NRG,-1.690769,13.638,13.9438,0.1831,0.1859,-0.3096,-0.3144,-0.0048
2024,2024-01-22 00:00:00+00:00,APA,MID,Team Liquid,-2.5361535,14.8688,14.8478,0.2208,0.22,-0.5601,-0.558,0.0021
2024,2024-01-22 00:00:00+00:00,Armao,JGL,Immortals,-3.2124611000000005,11.2957,11.1613,0.1793,0.1803,-0.5759,-0.5792,-0.0032
2024,2024-01-22 00:00:00+00:00,Berserker,BOT,Cloud9,1.1835383000000017,14.4435,16.0199,0.2074,0.2185,0.2454,0.2586,0.0132
2024,2024-01-22 00:00:00+00:00,Blaber,JGL,Cloud9,1.1835383000000017,12.123,12.9581,0.1741,0.1768,0.206,0.2092,0.0032
2024,2024-01-22 00:00:00+00:00,Bugi,JGL,Shopify Rebellion,-4.0578456,11.3609,11.1073,0.1705,0.169,-0.6917,-0.6859,0.0058
2024,2024-01-22 00:00:00+00:00,Busio,SUP,FlyQuest,-2.028922799999999,13.59,13.9419,0.198,0.1983,-0.4018,-0.4024,-0.0006
2024,2024-01-22 00:00:00+00:00,Bvoy,BOT,Shopify Rebellion,-4.0578456,13.964,13.9269,0.2095,0.2119,-0.8502,-0.8601,-0.0099
2024,2024-01-22 00:00:00+00:00,Bwipo,TOP,FlyQuest,-2.028922799999999,13.4334,13.6203,0.1958,0.1937,-0.3972,-0.3931,0.0041
2024,2024-01-22 00:00:00+00:00,Castle,TOP,Immortals,-3.2124611000000005,11.1377,10.203,0.1768,0.1648,-0.5679,-0.5294,0.0384
2024,2024-01-22 00:00:00+00:00,Contractz,JGL,NRG,-3.1279226499999995,12.7111,12.7076,0.1739,0.1756,-0.5439,-0.5492,-0.0053
2024,2024-01-22 00:00:00+00:00,CoreJJ,SUP,Team Liquid,-2.5361535,13.3393,13.6755,0.1981,0.2026,-0.5024,-0.5139,-0.0115
2024,2024-01-22 00:00:00+00:00,Dhokla,TOP,NRG,-3.1279226499999995,13.8352,13.9204,0.1893,0.1923,-0.592,-0.6016,-0.0096
